,0
0,-570.0866
1,-571.6991
2,-573.57086
3,-456.05914
4,-240.90222
5,-143.23454
6,-116.849434
7,-135.9434
8,-206.11787
9,-252.97945
10,-234.68355
11,-246.5841
12,-242.21516
13,-256.26828
14,-268.3869
15,-255.951
16,-236.20573
17,-207.47557
18,-201.78938
19,-200.82182
20,-181.45886
21,-152.67406
22,-139.27692
23,-159.67082
24,-191.95773
25,-226.58551
26,-291.40918
27,-352.32928
28,-262.76175
29,-236.04639
30,-304.33066
31,-305.6912
32,-169.88016
33,-141.09506
34,-188.00336
35,-231.42108
36,-264.14383
37,-309.37354
38,-333.41
39,-376.89575
40,-457.95468
41,-374.10825
42,-349.6604
43,-337.94952
44,-243.82303
45,-197.39192
46,-212.63576
47,-226.00478
48,-252.47723
49,-289.5322
50,-245.32086
51,-229.45964
52,-229.04178
53,-219.73795
54,-190.46869
55,-165.90276
56,-163.4287
57,-178.20135
58,-214.59024
59,-291.4369
60,-387.58945
61,-342.9378
62,-332.54874
63,-412.09427
64,-527.9273
65,-284.95657
66,-189.09158
67,-185.14622
68,-215.82695
69,-249.42989
70,-264.23212
71,-218.40356
72,-179.4252
73,-146.84447
74,-148.61221
75,-201.69456
76,-180.8085
77,-129.22475
78,-137.6927
79,-164.39917
80,-157.71353
81,-136.55853
82,-130.46855
83,-137.24902
84,-153.49614
85,-172.84515
86,-214.63284
87,-254.45753
88,-264.413
89,-253.07848
90,-225.7253
91,-204.28554
92,-229.77043
93,-257.25958
94,-245.36186
95,-279.1173
96,-346.24106
97,-254.83315
98,-239.08664
99,-273.8953
100,-268.18005
101,-243.91174
102,-228.9095
103,-223.42943
104,-224.88017
105,-216.89218
106,-209.56804
107,-201.836
108,-186.4676
109,-138.47836
110,-128.44006
111,-139.66988
112,-115.413124
113,-153.58653
114,-244.66318
115,-333.223
116,-430.42526
117,-553.1561
118,-569.53503
119,-573.0216
120,-579.02515
121,-576.43866
122,-576.5503
123,-567.6083
124,-564.9349
125,-551.6138
126,-551.44196
127,-571.80634
128,-572.3489
129,-574.16205
130,-571.90826
131,-572.21826
132,-570.7409
133,-378.91904
134,-247.48013
135,-177.8557
136,-162.99693
137,-193.3397
138,-218.97963
139,-188.39288
140,-166.50645
141,-122.03595
142,-99.94099
143,-107.54223
144,-123.38762
145,-137.35239
146,-136.01016
147,-118.55842
148,-101.88583
149,-100.62944
150,-122.39039
151,-148.95554
152,-182.46329
153,-220.78522
154,-238.61574
155,-175.43604
156,-136.0056
157,-173.02255
158,-294.4328
159,-427.7212
160,-499.93716
161,-322.37802
162,-173.46107
163,-124.093956
164,-116.026344
165,-116.95276
166,-112.08583
167,-91.49935
168,-94.052086
169,-125.146614
170,-205.89943
171,-284.94608
172,-274.62653
173,-314.27142
174,-299.61343
175,-250.90897
176,-238.05243
177,-197.41429
178,-186.35728
179,-220.92702
180,-249.49657
181,-304.88287
182,-445.84247
183,-556.17053
184,-362.66885
185,-268.59808
186,-251.01195
187,-263.72375
188,-280.6614
189,-288.34354
190,-316.4104
191,-345.08408
192,-327.86023
193,-291.21896
194,-262.91022
195,-241.5778
196,-262.34808
