,0
0,-558.01807
1,-526.93134
2,-515.6459
3,-549.1394
4,-501.2953
5,-298.9097
6,-206.87807
7,-184.42584
8,-206.05408
9,-234.01402
10,-223.50809
11,-215.08076
12,-239.3251
13,-189.31375
14,-158.14171
15,-173.97092
16,-182.48007
17,-184.49596
18,-170.58725
19,-134.68298
20,-82.039345
21,-69.238716
22,-81.91736
23,-108.3399
24,-180.49197
25,-267.94525
26,-224.56177
27,-204.01942
28,-224.5124
29,-213.633
30,-175.32973
31,-211.3396
32,-300.13705
33,-327.73563
34,-319.0998
35,-254.89136
36,-157.15887
37,-122.80213
38,-120.26499
39,-98.88841
40,-104.82929
41,-184.78975
42,-344.28824
43,-401.8406
44,-282.0522
45,-217.33318
46,-176.62767
47,-181.71158
48,-218.75714
49,-224.0968
50,-252.07907
51,-273.22815
52,-245.0891
53,-195.2808
54,-196.33907
55,-261.0671
56,-276.0937
57,-139.92328
58,-84.74781
59,-106.28093
60,-139.59535
61,-151.79218
62,-221.61159
63,-239.3534
64,-169.56798
65,-175.29346
66,-238.0274
67,-365.89703
68,-285.27026
69,-197.5873
70,-164.56041
71,-139.501
72,-129.12888
73,-147.91441
74,-122.77808
75,-148.47672
76,-190.03836
77,-108.51421
78,-99.49975
79,-114.04457
80,-164.78995
81,-292.79053
82,-391.72696
83,-381.49658
84,-260.12595
85,-203.52599
86,-158.8966
87,-129.5143
88,-119.465256
89,-128.38158
90,-188.86465
91,-247.05376
92,-313.57938
93,-361.91772
94,-385.53677
95,-370.6753
96,-360.0898
97,-334.65387
98,-336.62326
99,-290.1934
100,-202.11742
101,-160.96342
102,-152.65157
103,-157.83888
104,-158.762
105,-166.43053
106,-173.96341
107,-180.25916
108,-205.07611
109,-260.02353
110,-331.45612
111,-349.6908
112,-362.87552
113,-387.04782
114,-434.25595
115,-480.11133
116,-537.97253
117,-558.1637
118,-567.4525
119,-577.33405
120,23.697441
121,28.660828
122,29.91412
123,31.725021
124,64.39209
125,89.04101
126,89.52417
127,93.414154
128,84.80521
129,47.03469
130,15.118001
131,28.490234
132,59.655502
133,92.56862
