,0
0,-409.9157
1,-368.70245
2,-388.5651
3,-315.23215
4,-226.82011
5,-156.98412
6,-123.08908
7,-95.60077
8,-80.28804
9,-95.9407
10,-139.2716
11,-200.82083
12,-217.49342
13,-203.48108
14,-168.79213
15,-134.63303
16,-135.85556
17,-160.16998
18,-196.06151
19,-261.81213
20,-267.2492
21,-176.74861
22,-118.40228
23,-122.61367
24,-156.8575
25,-193.08066
26,-270.3526
27,-178.4392
28,-119.74458
29,-119.19224
30,-111.85775
31,-104.65214
32,-130.59734
33,-161.6692
34,-157.08617
35,-138.93561
36,-106.06709
37,-88.605034
38,-108.995705
39,-129.75188
40,-194.53561
41,-369.3664
42,-440.4463
43,-224.33482
44,-112.81934
45,-90.40522
46,-94.26449
47,-92.428215
48,-93.239624
49,-111.34446
50,-134.89522
51,-158.16249
52,-156.26512
53,-138.27623
54,-142.19032
55,-191.94531
56,-265.378
57,-249.82185
58,-177.97626
59,-143.40295
60,-141.09654
61,-166.50099
62,-132.81993
63,-111.81255
64,-131.86072
65,-154.15059
66,-153.64825
67,-190.16304
68,-148.44182
69,-98.681015
70,-89.59355
71,-110.33723
72,-112.76363
73,-96.43585
74,-109.65379
75,-170.3523
76,-133.96564
77,-79.07581
78,-80.22271
79,-106.24955
80,-158.70155
81,-128.84758
82,-106.20712
83,-102.20101
84,-144.75092
85,-213.08441
86,-247.15695
87,-316.5277
88,-388.97095
89,-153.33449
90,-81.26449
91,-72.61895
92,-80.14186
93,-78.181046
94,-87.450356
95,-97.96993
96,-96.57644
97,-93.425804
98,-98.30212
99,-113.92899
100,-109.03205
101,-108.99565
102,-127.05219
103,-161.3639
104,-244.56007
105,-367.002
106,-189.598
107,-122.036
108,-118.51772
109,-146.8173
110,-196.8631
111,-204.24911
112,-187.14804
113,-181.3296
114,-180.32193
115,-166.79318
116,-180.6333
117,-208.74707
118,-237.14304
119,-271.3539
120,-290.33875
121,-336.64056
122,-412.6417
123,-464.45807
124,-489.88223
125,-498.1951
126,-473.41965
127,-483.1674
128,62.845337
129,77.09546
130,78.698975
131,102.08012
132,78.11206
133,57.316116
134,58.42658
135,82.045456
136,84.346664
137,66.17514
138,38.910698
139,-5.7467375
140,-20.532562
141,-24.448582
142,-1.1757002
143,47.189346
144,83.30507
145,102.55425
146,102.15628
147,110.656136
148,122.021454
149,84.08469
150,89.6268
151,107.72629
152,129.39432
153,134.35403
154,131.2349
155,110.30554
156,128.54613
157,124.64525
158,95.60675
159,61.29841
160,19.770088
161,-21.55779
162,-27.494133
163,-8.934553
164,32.633396
165,72.702545
166,105.62315
167,137.49507
168,148.55469
169,151.20303
170,117.10462
171,21.226233
172,27.488049
173,17.336594
174,5.663872
175,24.752932
176,54.292744
177,72.98893
178,90.91709
179,104.467224
180,101.272736
181,92.1909
182,96.01866
183,108.08348
184,106.39906
185,93.4765
186,108.6095
187,109.226654
188,132.75572
189,150.8214
190,92.0022
191,71.41246
192,73.28606
193,82.54899
194,110.31709
195,132.75095
196,171.68939
197,167.56744
198,159.18942
199,162.76819
200,164.67896
201,169.44293
202,174.66182
203,165.42339
204,114.24994
205,114.13386
206,127.673706
207,145.70859
208,145.20859
209,133.53659
210,121.186195
211,133.44781
212,141.51723
213,147.86508
214,141.8778
215,106.492096
216,38.28235
217,33.662193
218,29.639112
219,12.878209
220,11.044003
221,42.195564
222,73.16139
223,93.3761
224,63.984924
225,24.140375
226,-8.382883
227,-38.11929
228,-38.032146
229,-34.689835
230,-43.32038
231,-51.09458
232,-54.04385
233,7.848693
234,18.886808
235,25.020761
236,36.880264
237,79.911
238,117.53584
