,0
0,-511.22775
1,-491.77316
2,-250.58868
3,-158.23499
4,-162.9364
5,-201.97942
6,-192.99039
7,-192.9641
8,-156.31393
9,-139.92499
10,-177.04994
11,-187.5815
12,-200.72476
13,-242.66512
14,-214.62257
15,-190.05301
16,-191.84775
17,-135.73856
18,-118.18159
19,-144.0842
20,-175.68742
21,-210.80557
22,-290.5596
23,-192.12558
24,-122.71415
25,-134.7636
26,-159.8257
27,-170.21208
28,-210.32797
29,-253.91647
30,-303.0242
31,-363.1806
32,-379.0314
33,-314.5655
34,-274.6226
35,-254.51283
36,-275.26227
37,-281.39734
38,-271.1312
39,-198.78183
40,-148.68004
41,-124.501915
42,-113.15931
43,-143.20941
44,-254.83252
45,-199.65356
46,-162.31264
47,-211.0702
48,-221.90753
49,-221.45311
50,-247.31793
51,-224.42595
52,-178.3853
53,-180.78177
54,-235.2216
55,-230.55905
56,-160.89621
57,-143.85965
58,-154.77908
59,-196.41737
60,-289.67667
61,-252.79446
62,-199.7549
63,-166.58832
64,-153.66557
65,-125.19359
66,-121.41195
67,-143.01413
68,-149.03294
69,-158.34338
70,-191.29836
71,-259.6217
72,-307.17065
73,-330.65118
74,-356.76785
75,-383.33853
76,-413.51114
77,-445.8208
78,-457.90982
79,-482.99643
80,-478.92404
81,-436.44452
82,-420.78894
83,-484.62567
84,-508.66327
85,-507.29828
86,-525.3969
87,-535.80237
88,-535.89215
89,-473.65952
90,-426.074
91,44.598015
92,65.49709
93,163.90683
94,176.12689
95,172.60107
96,154.29755
97,112.57885
98,65.891266
99,60.629044
100,76.60075
101,88.65144
102,116.62503
103,152.38486
104,172.8042
105,158.7481
106,128.3584
107,128.77473
108,92.9816
109,50.421432
110,2.1375825
111,-27.597021
112,-29.877571
113,-15.728952
114,111.13722
115,149.46771
116,167.46497
117,180.2149
118,186.555
119,161.60489
120,166.70233
121,175.19218
122,156.53177
123,165.5167
124,200.4099
125,206.22638
126,190.06
127,161.22305
128,147.56839
129,160.18964
130,132.20842
131,143.6048
132,151.67703
133,152.99341
134,152.03479
135,138.21951
136,96.65457
137,101.8215
138,105.51261
139,69.392395
140,28.602526
141,6.0699806
142,47.803497
143,104.84143
144,150.1124
145,176.42252
146,175.82202
147,169.96048
148,147.29935
149,140.7609
150,142.13614
151,125.91731
152,43.98827
153,35.993515
154,88.922165
155,152.56519
156,166.60974
157,150.30385
158,133.54904
159,136.17569
160,149.25021
161,148.8428
162,143.56885
163,132.45103
164,131.9862
165,128.53473
166,118.73205
167,108.45345
168,85.464836
169,71.53073
170,64.26318
171,71.09441
172,94.48674
173,96.8389
174,65.792206
175,39.372814
176,39.10508
177,21.10587
178,10.697845
179,11.670593
180,76.48548
181,97.249
182,38.98255
183,47.401
184,11.240923
185,-4.5060644
186,1.4805026
187,35.529907
188,56.65869
189,51.962936
190,40.118076
191,28.444118
192,11.094576
193,-1.2041544
194,3.4616303
195,36.03665
196,20.347218
197,-9.958868
198,-3.4241836
199,3.1382098
200,-10.579859
201,-37.520477
202,-60.63497
203,-51.85579
204,-30.100605
205,-32.913486
206,-25.40038
207,-16.485872
208,-13.282891
209,-17.079405
210,-15.957806
211,5.5365124
212,50.228645
213,77.792725
214,80.6759
215,64.808235
216,49.901794
217,27.507545
218,14.311108
219,10.225971
220,22.426216
221,-10.935122
222,-23.834496
223,-45.36412
224,-44.721252
225,-26.667727
226,6.244503
227,-22.777107
228,-17.988008
229,5.915286
230,28.845009
231,5.404569
232,-16.189545
233,5.735709
234,24.665653
235,21.685751
236,18.171772
237,2.3887494
238,-38.358883
239,-56.538258
240,-49.18415
241,-15.618067
242,22.749565
243,-0.0022436678
244,-6.7797604
245,27.020882
246,20.17498
247,-21.906712
248,-48.428463
249,-62.359505
250,-57.475807
251,-32.657265
252,-2.8759356
253,18.030231
254,19.960215
255,8.866009
256,14.914874
257,16.513771
258,15.151243
259,18.694992
260,21.592491
261,29.624508
262,36.064117
263,27.27148
264,20.016893
265,30.939898
266,18.628012
267,15.236357
268,9.509744
269,7.7123156
270,11.068476
271,35.056522
272,23.233173
273,32.252495
274,31.620876
275,53.698246
276,63.99341
277,62.86125
278,53.531883
279,67.3251
280,76.26685
281,99.35306
282,115.59787
283,126.15724
284,126.70285
285,106.75754
286,68.461685
287,64.727585
288,64.94569
289,77.53572
290,113.59972
291,122.382286
292,117.25916
293,112.54304
