,0
0,-533.87476
1,-539.3709
2,-415.45224
3,-243.92413
4,-191.33522
5,-187.28262
6,-192.1608
7,-200.48288
8,-196.46346
9,-220.40268
10,-230.57921
11,-241.86243
12,-236.92615
13,-219.36853
14,-216.59003
15,-185.34288
16,-152.43633
17,-166.54514
18,-169.18352
19,-136.15382
20,-135.42178
21,-165.32356
22,-259.17206
23,-427.24066
24,-375.0806
25,-288.55573
26,-227.15607
27,-200.47758
28,-239.82693
29,-351.7601
30,-299.55878
31,-259.81943
32,-185.97926
33,-137.38068
34,-146.66547
35,-176.96104
36,-243.60645
37,-375.54694
38,-546.1784
39,-336.80658
40,-217.07231
41,-175.16693
42,-185.30847
43,-201.31805
44,-219.99419
45,-291.90826
46,-352.6921
47,-310.9839
48,-291.76196
49,-293.42075
50,-262.60635
51,-228.46574
52,-237.87091
53,-231.73953
54,-234.65645
55,-281.6491
56,-328.79907
57,-273.52295
58,-258.02444
59,-256.0708
60,-295.09695
61,-335.04047
62,-335.10028
63,-269.51523
64,-225.37483
65,-204.46524
66,-194.04138
67,-221.7057
68,-279.8551
69,-233.15204
70,-210.02838
71,-230.06625
72,-258.75922
73,-349.92532
74,-357.873
75,-308.13254
76,-243.87361
77,-226.60326
78,-226.55743
79,-236.9166
80,-287.35083
81,-359.28723
82,-244.90144
83,-138.51323
84,-91.48649
85,-106.41781
86,-172.92966
87,-242.4287
88,-299.87042
89,-311.51138
90,-303.80573
91,-291.03467
92,-265.5916
93,-246.69026
94,-248.37106
95,-263.5078
96,-290.14096
97,-316.5893
98,-311.54593
99,-308.76883
100,-257.61932
101,-196.60352
102,-202.45454
103,-235.04106
104,-241.5223
105,-216.77954
106,-211.00175
107,-261.3434
108,-328.63644
109,-370.04706
110,-300.33957
111,-244.19199
112,-239.9032
113,-235.3236
114,-229.88348
115,-257.96204
116,-240.41158
117,-198.60121
118,-182.32051
119,-162.27808
120,-142.45538
121,-180.95781
122,-210.07048
123,-164.91496
124,-154.55342
125,-201.43143
126,-254.70741
127,-301.6217
128,-279.3553
129,-265.93542
130,-259.53317
131,-254.03311
132,-284.8865
133,-355.19766
134,-303.90262
135,-224.38527
136,-182.98412
137,-170.06554
138,-164.44673
139,-169.35785
140,-189.81448
141,-217.35402
142,-272.59076
143,-358.98456
144,-469.0265
145,-507.2033
146,-457.39615
147,-340.99115
148,-308.7977
149,-349.63287
150,-430.4109
151,-472.21747
152,-516.4623
153,-547.7719
154,-556.89417
155,-556.61005
156,37.174652
157,29.775978
158,43.8862
159,94.69978
160,106.50998
161,87.10193
162,71.97046
163,49.821968
164,22.61838
165,-28.328442
166,-61.23008
167,-76.65991
168,-58.48033
169,-7.054298
170,51.604023
171,109.58273
172,107.36798
173,84.55029
174,69.10167
175,85.812904
176,95.051254
177,111.12988
178,106.099014
179,8.773927
180,-20.335701
181,-0.030845046
182,34.522247
183,68.58467
184,93.91213
185,84.913055
186,59.470562
187,65.54714
188,75.9635
189,77.592545
190,77.86487
191,107.93399
192,117.82486
193,92.04499
194,19.561707
195,42.551666
196,78.41634
197,76.23163
198,52.841595
199,60.975372
200,93.702194
201,112.06404
202,55.65568
203,6.6388426
204,-21.190659
205,-38.607933
206,3.042167
207,23.566362
208,16.192106
209,24.486897
210,50.620632
211,72.22008
212,66.98716
213,59.45436
214,58.388977
215,55.217396
216,29.161179
217,-2.9398112
218,-12.9920845
219,42.22442
220,62.23116
221,42.76827
222,45.14972
223,67.981155
224,81.27304
225,87.10162
226,79.908905
227,65.96045
228,82.7048
229,73.77656
230,41.05891
231,35.547318
232,28.761246
233,12.776236
234,18.68465
235,17.15494
236,2.244308
237,-4.1574645
238,75.38965
239,103.77678
240,100.01421
241,85.87366
242,95.83842
243,116.64235
244,106.08719
245,105.14523
246,110.61226
247,112.88335
248,120.15097
249,113.97946
250,116.86005
251,122.20105
252,93.60161
253,53.34082
254,48.23051
255,47.429604
256,74.382324
257,75.68747
258,57.48983
259,20.635452
260,15.945248
261,34.754677
262,63.858414
263,78.6948
264,73.938225
265,44.460007
266,59.09832
267,50.25239
268,27.207354
269,10.411493
270,35.647312
271,62.813286
272,103.73207
273,109.89074
274,88.61595
275,69.00192
276,46.949776
277,10.000936
278,-9.76181
279,1.1512754
280,10.343598
281,3.5707502
282,11.672104
283,16.3129
284,-27.947926
285,-52.39025
286,-64.6747
287,-63.633194
288,-69.04052
289,-63.47438
290,20.247608
291,40.95761
292,65.82117
293,87.65689
294,85.064415
295,91.50376
296,96.95134
297,88.20558
298,78.16632
299,84.73849
300,82.70946
301,69.667
302,43.42031
303,31.261574
304,46.143486
305,61.718163
306,62.180664
307,58.932053
308,39.697044
309,16.226973
310,5.5768657
311,5.983694
312,34.33362
313,27.999226
314,-5.586597
315,-51.26824
316,-88.810646
317,-119.876274
318,-116.55804
319,-88.77475
320,-63.773605
321,-47.413334
322,-60.076965
323,-72.50444
324,-66.86655
325,-51.258064
326,-55.89456
327,-113.00826
328,-138.36128
329,-132.23529
330,-119.34379
331,-133.06808
332,-135.70865
333,-96.357605
334,-45.834435
335,8.51922
336,-38.9915
337,-50.123173
338,-44.70528
339,-46.4543
340,-41.948967
341,-19.717184
342,-49.97048
343,-73.31539
344,-125.787445
345,-162.37804
346,-165.66638
347,-122.33928
348,-73.75685
349,-32.095833
350,16.42644
351,-19.537745
352,-54.742493
353,-83.797005
354,-108.64072
355,-100.79223
356,-71.42619
357,-42.280342
358,-20.305115
359,-37.418095
360,-52.93501
361,-59.331673
362,-36.646828
363,-58.13555
364,-80.18262
365,-109.31029
366,-105.56378
367,-76.41002
368,-43.870033
369,-81.9105
370,-94.63284
371,-67.4686
372,-34.27044
373,-33.679474
374,-46.644684
375,-43.42186
376,-75.98658
377,-112.936356
378,-111.399864
379,-82.128784
380,-53.407196
381,-85.81935
382,-105.180145
383,-99.28628
384,-76.77513
385,-28.924942
386,-16.463617
387,-27.073322
388,-63.731697
389,-97.32666
390,-98.8475
391,-70.90896
392,-30.75935
393,-20.78569
394,-44.416084
395,-108.32063
396,-159.53444
397,-176.10406
398,-156.94678
399,-114.345314
400,-70.408875
401,-49.002007
402,-43.4218
403,-43.04711
404,-49.038155
405,-63.73989
406,-61.32562
407,-39.43631
408,-29.298355
409,-48.76542
410,-59.00202
411,-59.542915
412,-54.285507
413,-80.37763
414,-88.791916
415,-92.81846
416,-85.12997
417,-94.3389
418,-92.4778
419,-67.870255
420,-26.956226
421,-26.390701
422,-56.403557
423,-79.608185
424,-95.854935
425,-131.2634
426,-131.9831
427,-105.30258
428,-71.15064
429,-84.63185
430,-108.76012
431,-146.79114
432,-165.14526
433,-157.69461
434,-146.2924
435,-154.10358
436,-158.25629
437,-127.199135
438,-96.64696
439,-60.269325
440,-54.734898
441,-71.47028
442,-75.94676
443,-77.31833
444,-69.51735
445,-43.7869
446,-40.02758
447,-71.65254
448,-106.32788
449,-130.93948
450,-143.74454
451,-137.81827
452,-121.111275
453,-109.12979
454,-83.49758
455,-28.455471
456,39.056953
457,53.931953
458,-19.041668
459,-83.56114
460,-79.323425
461,-39.5757
462,-1.786145
463,3.147849
464,17.457537
465,13.521534
466,5.4995284
467,5.9202766
468,29.944662
469,25.201675
470,47.505478
471,54.50841
472,51.20847
473,25.351452
474,14.603745
475,33.00776
476,48.999725
477,78.78856
478,84.01495
479,85.77367
480,90.06848
481,88.7188
482,46.027058
483,7.651417
484,-6.3793316
485,-10.814381
486,5.8202686
487,-1.659043
488,-2.41628
489,18.233685
490,28.602375
491,54.942726
492,34.432198
493,42.438267
494,42.690044
495,34.2556
496,25.225956
497,27.61552
498,59.41768
499,63.06463
500,43.313774
501,31.62635
502,23.299046
503,28.038967
504,36.29282
505,25.972239
506,12.460812
507,63.952415
508,61.55572
509,56.034138
510,38.589333
511,37.210377
512,46.58526
513,31.182026
514,48.78482
515,94.453125
516,104.2
517,96.23819
518,105.170395
519,120.40555
520,119.71687
521,92.46174
522,80.41617
523,56.449486
524,35.14517
525,42.65558
526,45.30307
527,45.13047
528,61.752647
529,70.27517
530,63.75888
531,65.42984
532,73.92321
533,90.20818
534,98.92934
535,90.84338
536,81.78651
537,70.15856
538,71.452705
539,60.643944
540,43.594154
541,27.695732
542,32.755722
543,43.814056
544,60.079094
545,82.91078
546,98.07231
547,87.21446
548,83.10904
549,66.99155
550,54.34703
551,41.750744
552,38.795506
553,21.998983
554,-6.7504053
