,0
0,-523.60956
1,-512.0392
2,-508.13037
3,-517.4767
4,-521.55475
5,-517.22754
6,-517.667
7,-389.3136
8,-251.32185
9,-193.38763
10,-170.01422
11,-152.18727
12,-143.31653
13,-131.29439
14,-131.07726
15,-134.90135
16,-147.36205
17,-153.92924
18,-146.43802
19,-126.989044
20,-114.39475
21,-102.319176
22,-120.591805
23,-153.48341
24,-173.49963
25,-159.14755
26,-128.34053
27,-101.471085
28,-86.57723
29,-79.2385
30,-87.83094
31,-103.81097
32,-151.01962
33,-279.15262
34,-258.72607
35,-194.90092
36,-165.81187
37,-164.58037
38,-170.5711
39,-221.89722
40,-314.90347
41,-394.94904
42,-258.1034
43,-184.9281
44,-186.64401
45,-209.12413
46,-158.42271
47,-129.5969
48,-115.85636
49,-108.91254
50,-127.13071
51,-194.84436
52,-348.4139
53,-448.48203
54,-288.31348
55,-179.15231
56,-168.9246
57,-193.27394
58,-192.02985
59,-199.47731
60,-230.92003
61,-310.16858
62,-462.01526
63,-517.9127
64,-520.93176
65,-266.14468
66,-190.1482
67,-200.37099
68,-207.44978
69,-207.46794
70,-233.24834
71,-269.4943
72,-304.19427
73,-275.42017
74,-232.92715
75,-212.50723
76,-162.3362
77,-137.86734
78,-150.69579
79,-184.15742
80,-270.4847
81,-492.18808
82,-521.057
83,-519.70544
84,-516.6957
85,-519.2437
86,-521.80914
87,-510.5578
88,-487.37305
89,-500.81546
90,-502.32892
91,-498.17053
92,-491.72418
93,-483.88495
94,-494.24774
95,-470.8992
96,-420.11053
97,-402.1718
98,-405.10312
99,-408.2119
100,-283.07788
101,-160.15698
102,-143.63959
103,-188.29517
104,-204.30746
105,-196.3623
106,-180.92563
107,-161.8184
108,-155.46437
109,-155.13976
110,-153.16321
111,-180.80121
112,-208.61978
113,-213.59647
114,-211.61034
115,-250.66396
116,-226.33871
117,-178.26279
118,-199.19612
119,-193.21765
120,-215.10057
121,-306.54495
122,-299.61566
123,-229.79425
124,-201.17474
125,-174.4258
126,-165.49521
127,-176.19522
128,-159.77371
129,-148.96214
130,-192.61668
131,-302.56534
132,-319.62363
133,-130.9176
134,-75.547005
135,-84.13949
136,-133.8116
137,-262.64944
138,-378.38776
139,-405.87833
140,-435.25226
141,-503.7278
142,-512.94244
143,-509.36987
144,-462.5493
145,-314.53824
146,-242.16269
147,-216.9821
148,-220.14343
149,-254.28433
150,-259.4067
151,-265.1888
152,-253.9345
153,-257.49835
154,-268.85846
155,-250.85364
156,-235.7446
157,-214.64206
158,-210.96648
159,-255.87953
160,-264.22754
161,-262.26428
162,-287.55835
163,-301.91077
164,-267.79916
165,-190.18681
166,-174.10387
167,-190.83128
168,-190.73662
169,-186.73454
170,-203.10399
171,-230.47801
172,-286.45618
173,-327.67322
174,-350.232
175,-337.95737
176,-250.78268
177,-188.79279
178,-196.4777
179,-222.57271
180,-237.06398
181,-282.19888
182,-306.22156
183,-262.4162
184,-225.35426
185,-201.17062
186,-188.95798
187,-171.79341
188,-161.94926
189,-142.28938
190,-115.746025
191,-103.208954
192,-107.64236
193,-116.99165
194,-136.40636
195,-127.26858
196,-96.21173
197,-89.53986
198,-114.55301
199,-124.52351
200,-136.63751
201,-164.63629
202,-217.51451
203,-235.56116
204,-168.01375
205,-175.53058
206,-245.31653
207,-353.36322
208,-467.0872
209,-492.30264
210,-367.9352
211,-216.3612
212,-210.29527
213,-335.8641
214,-511.59933
215,-514.86945
216,-516.0795
217,-512.14624
218,-508.11365
219,-505.54153
220,-487.7287
221,-468.89474
222,-491.38742
223,24.296764
224,36.068626
225,42.19557
226,29.308884
227,25.341228
228,29.961163
229,29.986744
230,12.498546
231,28.70425
232,31.23061
233,40.00303
234,78.76616
235,118.50982
236,112.413376
237,83.67587
238,37.319107
239,-7.617363
240,-32.34807
241,-23.741396
242,-4.1318836
243,4.872566
244,16.530027
245,33.436928
246,69.00061
247,93.15389
248,121.493805
249,120.80211
250,102.61338
251,96.5574
252,95.21498
253,89.91054
254,96.9828
255,100.44374
256,77.27468
257,41.83509
258,41.561394
259,44.557907
260,52.064415
261,85.519775
262,150.94098
263,177.61682
264,160.81828
265,134.07852
266,136.47726
267,141.34341
268,135.05945
269,152.2601
270,152.2728
271,141.77216
272,141.39278
273,163.46945
274,171.15121
275,132.39865
276,101.083206
277,116.11865
278,138.42429
279,152.53528
280,181.4151
281,200.14227
282,204.43762
283,208.63083
284,193.98283
285,93.73385
286,28.673656
287,24.560593
288,90.484924
289,98.66112
290,82.566986
291,50.594334
292,52.251926
293,73.679634
294,98.22092
295,93.72093
296,92.621254
297,77.77148
298,59.234127
299,107.77855
300,147.28192
301,162.47354
302,155.60312
303,144.76485
304,51.162827
305,25.279217
306,26.19474
307,28.313568
308,26.839525
309,24.228523
310,34.81626
311,55.404343
312,41.69484
313,37.707573
314,39.92914
315,30.956438
316,28.045507
317,27.045704
318,74.37443
319,126.10548
320,143.06673
321,141.12793
322,141.94626
323,136.2872
324,141.4865
325,145.46487
326,132.3559
327,113.65178
328,114.22714
329,92.41879
330,63.141663
331,50.404533
332,49.67781
333,77.702065
334,105.121124
335,96.23299
336,93.55942
337,123.93141
338,149.6377
339,116.07967
340,101.45946
341,86.33237
342,107.410545
343,118.47551
344,128.7172
345,94.23404
346,61.505234
347,52.134487
348,62.03577
349,76.41385
350,87.29472
351,57.965168
352,27.64014
353,-8.689824
354,-35.404755
355,58.607708
356,124.48747
357,152.64104
358,152.05872
359,145.9243
360,124.28206
361,83.11589
362,82.02482
363,71.06978
364,30.709747
365,28.761118
366,30.207558
367,67.84526
368,137.04793
369,166.62769
370,175.63773
371,164.66852
372,136.8801
373,129.89734
374,122.85039
375,138.01346
376,141.72003
377,142.05676
378,181.67438
379,177.10678
380,132.81998
381,143.28232
382,129.01239
383,129.41084
384,146.1728
385,142.92084
386,146.65996
387,149.71637
388,131.11586
389,121.22507
390,119.791275
391,130.48709
392,138.23492
393,138.84991
394,150.3269
395,147.90854
396,129.06177
397,124.388885
398,143.00354
399,128.40387
400,113.40705
401,102.44079
402,103.523544
403,125.76541
404,139.14233
405,127.365814
406,129.84174
407,135.4773
408,130.7415
409,115.83838
410,120.120636
411,130.85112
412,144.84021
413,152.30975
414,151.13928
415,136.61319
416,105.51889
417,86.035675
418,92.345894
419,86.34653
420,48.33069
421,5.504695
422,-14.754465
423,-27.48177
424,-31.583302
425,-31.104198
426,37.457886
427,61.96725
428,79.64015
429,112.75414
430,104.25943
431,52.362923
432,27.76356
433,56.03034
434,95.46463
435,100.02273
436,81.58537
437,30.648098
438,28.996174
439,27.041174
440,24.697664
441,27.296288
442,30.18518
443,48.260315
444,64.600815
445,51.214287
446,22.244585
447,29.580814
448,34.296177
449,23.211693
450,20.744295
451,24.865677
452,24.453407
453,-19.513224
454,-49.67746
455,-45.934814
456,-35.11344
457,-44.701973
458,-73.86953
459,-99.68306
460,-97.75771
461,-76.69485
462,-74.05887
463,-89.88881
464,-94.41876
465,-91.47208
466,-92.54012
467,-104.47501
468,-97.99225
469,-63.98873
470,-52.86934
471,-81.84324
472,-128.20312
473,-144.03722
474,-143.97063
475,-135.82327
476,-127.66554
477,-108.00574
478,-78.02367
479,-52.83937
480,-37.520805
481,-25.127235
482,-8.553362
483,-1.0724204
484,-14.441837
485,-16.862345
486,24.121786
487,79.56294
488,-18.851368
489,-40.462166
490,-39.239304
491,-45.30433
492,-58.93754
493,-81.07031
494,-112.5901
495,-108.692764
496,-68.589966
497,-37.30002
498,0.50088024
499,44.261486
500,-48.526855
501,-56.78354
502,-52.846165
503,-56.296875
504,-58.715748
505,-54.245132
506,-34.59391
507,7.3360806
508,57.87801
509,24.32973
510,20.44328
511,-66.82413
512,-78.57602
513,-74.73453
514,-75.74706
515,-56.19222
516,-11.020756
517,23.15054
518,21.736996
519,17.254305
520,-6.8639164
521,-42.171486
522,-48.944405
523,-46.324787
524,-49.07653
525,-47.534317
526,-34.440865
527,18.79678
528,21.339455
529,21.34348
530,20.658302
531,22.777138
532,21.658434
533,25.766113
534,32.122135
535,30.860771
536,28.457722
537,23.686285
538,12.268261
539,9.4604225
540,7.0441895
541,41.953094
542,53.673656
543,52.62805
544,49.96655
545,58.54415
546,-18.988876
547,-56.87818
548,-54.228382
549,-41.813774
550,-45.24438
551,-41.767654
552,-38.79949
553,-53.21884
554,-63.668266
555,-67.028625
556,-44.472343
557,-29.585083
558,-38.84185
559,-44.300987
560,-30.881575
561,-3.7409332
562,-7.601123
563,-19.50482
564,-22.922678
565,-18.582882
566,2.0787356
567,36.897247
568,5.9993505
569,-46.45952
570,-37.969944
571,-9.7407255
572,6.51872
573,-2.5376866
574,-10.740091
575,-19.530212
576,-27.419239
577,-22.21668
578,-30.067972
579,-66.96277
580,-91.241005
581,-111.09113
582,-98.58442
583,-53.96204
584,-1.9638541
585,17.270351
586,22.203724
587,13.2822485
588,19.312056
589,19.730717
590,36.67854
591,29.574585
592,27.742355
593,32.339314
594,34.533348
595,42.21696
596,34.99707
597,26.385252
598,26.313953
599,26.246063
600,29.179283
601,30.681355
602,21.632568
603,4.4667826
604,4.055132
605,-6.7468514
606,-22.386517
607,-16.411875
608,3.6403625
609,27.81012
610,17.662891
611,-9.713151
612,-18.890982
613,-35.094604
614,-42.05506
615,-41.557976
616,-41.136436
617,-12.948666
618,28.442198
619,28.062645
620,25.102001
621,38.98651
622,5.446768
623,-17.824968
624,-23.170223
625,-44.48893
626,-52.2137
627,-24.737577
628,-9.893468
629,-27.815546
630,-47.697617
631,-53.77279
632,-50.515327
633,-53.05121
634,-51.6492
635,-50.966255
636,-55.195793
637,-69.322556
638,-85.96184
639,-94.079285
640,-83.22479
641,-67.02316
642,-81.84697
643,-90.897896
644,-91.66349
645,-100.9205
646,-105.35605
647,-104.75685
648,-96.50009
649,-54.460857
650,-55.55492
651,-49.19654
652,-56.74998
653,-34.180374
654,4.36649
655,12.232397
656,-56.763588
