,0
0,-552.89484
1,-519.1328
2,-503.80252
3,-514.862
4,-525.5055
5,-426.00638
6,-320.73346
7,-297.55383
8,-297.6828
9,-294.53677
10,-298.05505
11,-244.92229
12,-194.65202
13,-166.49277
14,-175.22993
15,-256.21747
16,-266.81808
17,-190.43718
18,-172.94585
19,-180.58318
20,-229.78351
21,-298.24463
22,-348.11792
23,-300.11588
24,-234.31465
25,-214.92593
26,-207.43439
27,-254.02617
28,-341.49307
29,-375.81146
30,-340.38232
31,-272.75317
32,-264.38348
33,-275.61313
34,-218.82428
35,-186.21902
36,-190.71533
37,-173.8278
38,-167.73402
39,-218.51375
40,-311.20145
41,-458.84738
42,-457.1156
43,-388.55682
44,-273.15604
45,-193.39098
46,-169.37741
47,-182.61282
48,-210.74738
49,-243.26808
50,-277.54425
51,-287.20618
52,-255.87857
53,-263.4645
54,-312.60825
55,-324.23422
56,-261.87698
57,-234.17552
58,-253.97513
59,-223.93904
60,-233.25609
61,-317.81067
62,-290.67123
63,-237.75249
64,-237.77716
65,-236.52177
66,-265.367
67,-217.68086
68,-186.80545
69,-191.06094
70,-238.45018
71,-354.51248
72,-303.25418
73,-223.34247
74,-198.71817
75,-187.3196
76,-181.24768
77,-177.4427
78,-181.45042
79,-188.69376
80,-202.40839
81,-171.87666
82,-176.90514
83,-237.44972
84,-282.61716
85,-317.89572
86,-270.14108
87,-231.34955
88,-231.21848
89,-223.23094
90,-188.45634
91,-198.81297
92,-211.64452
93,-224.43199
94,-261.6478
95,-277.97052
96,-289.09927
97,-319.21786
98,-329.39865
99,-375.90213
100,-437.35437
101,-448.41928
102,-455.66428
103,-462.30807
104,-468.06296
105,-464.13467
106,-491.8113
107,-537.8052
108,-546.3226
109,-559.0094
110,-570.9437
111,-570.48584
112,15.908812
113,23.943302
114,30.343033
115,33.180534
116,13.926862
117,20.234215
118,44.87082
119,50.88584
120,41.27554
121,52.308067
122,64.15487
123,93.90962
124,102.538345
125,97.126236
126,95.57097
127,90.9305
128,72.7939
129,72.12549
130,52.694164
131,66.464615
132,83.15418
133,62.50795
134,24.578293
135,42.880043
136,59.891296
137,51.188496
138,67.71902
139,93.394806
140,100.49611
141,94.80948
142,70.73772
143,57.86026
144,40.35196
145,20.491013
146,63.546844
147,86.6519
148,69.24082
149,64.52115
150,84.35642
151,79.05954
152,42.96789
153,-35.50968
154,-52.61532
155,-27.571815
156,37.840508
157,42.791393
158,24.347769
159,10.505243
160,11.645968
161,37.63247
162,44.967678
163,49.36566
164,62.380188
165,80.57409
166,87.25569
167,72.68028
168,72.50366
169,59.826733
170,37.685135
171,38.337585
172,38.187492
173,26.224258
174,33.60961
175,18.344063
176,5.125675
177,21.489159
178,8.701136
179,32.618538
180,34.418327
181,24.159786
182,34.40193
183,59.57762
184,83.78169
185,63.793636
186,19.54815
187,3.1792765
188,31.308681
189,54.422024
190,61.211773
191,55.423733
192,47.314396
193,41.45584
194,35.77752
195,40.730774
196,43.71228
197,33.869892
198,35.3124
199,32.909157
200,18.828304
201,26.574116
202,54.473686
203,51.050003
204,37.799477
205,33.959488
206,16.507172
207,13.711669
208,17.918907
209,18.96189
210,43.481083
211,64.12016
212,75.86975
213,71.85299
214,63.32406
215,62.97143
216,71.36242
217,96.31094
218,92.498665
219,59.144684
220,46.76542
221,32.810005
222,18.112144
223,18.644352
224,-2.3181906
225,-19.467945
226,-23.905384
227,-8.659457
228,6.254448
229,-15.89653
230,-15.357769
231,-21.141716
232,-38.468742
233,-34.328365
234,-35.022156
235,-63.08535
236,-92.76544
237,-111.41949
