,0
0,-514.5352
1,-515.348
2,-516.0063
3,-499.94217
4,-363.2887
5,-156.11462
6,-75.49251
7,-56.888626
8,-97.23879
9,-179.45737
10,-179.04773
11,-119.50881
12,-112.02212
13,-141.46193
14,-204.89131
15,-249.26672
16,-185.02032
17,-126.22534
18,-107.804794
19,-128.46605
20,-166.00935
21,-218.79793
22,-129.45425
23,-77.68099
24,-86.87982
25,-108.63799
26,-163.12878
27,-228.25093
28,-194.09224
29,-196.06995
30,-181.78781
31,-151.45804
32,-158.27794
33,-219.26132
34,-383.8554
35,-282.58078
36,-207.09532
37,-194.3361
38,-207.76578
39,-220.77771
40,-223.27788
41,-235.93271
42,-274.64362
43,-388.19913
44,-480.9469
45,-286.12543
46,-234.04593
47,-268.1886
48,-323.3633
49,-341.56485
50,-356.32993
51,-378.3048
52,-396.8445
53,-291.2409
54,-226.69012
55,-224.21689
56,-240.35417
57,-254.02055
58,-151.69972
59,-82.23659
60,-69.94035
61,-91.710396
62,-145.35359
63,-227.64345
64,-233.27089
65,-183.25797
66,-173.06485
67,-213.44629
68,-185.92247
69,-150.43735
70,-143.70056
71,-162.96399
72,-197.45123
73,-190.28616
74,-131.47063
75,-146.83754
76,-204.39507
77,-270.5946
78,-244.75696
79,-236.10495
80,-222.65451
81,-183.25107
82,-172.79364
83,-169.26842
84,-166.48367
85,-150.86157
86,-143.54442
87,-162.09743
88,-191.9756
89,-256.66772
90,-364.7672
91,-299.54703
92,-168.0322
93,-145.89049
94,-183.72575
95,-194.94101
96,-217.71178
97,-222.6152
98,-240.71733
99,-287.4573
100,-339.17245
101,-369.382
102,-396.85126
103,-436.56027
104,-475.43716
105,-501.37244
106,-505.04813
107,38.292038
108,37.1043
109,36.650055
110,50.943245
111,149.88667
112,181.24309
113,170.88867
114,126.603065
115,92.391815
116,48.96206
117,48.106873
118,92.41939
119,110.80557
120,127.95506
121,141.09848
122,142.03893
123,117.36733
124,119.96297
125,122.852264
126,131.71002
127,146.3613
128,161.14398
129,169.95401
130,172.81648
131,143.02875
132,94.61746
133,52.206352
134,-23.406223
135,-15.73195
136,9.816646
137,95.42043
138,147.06439
139,155.80081
140,134.43741
141,115.01468
142,60.392452
143,44.485832
144,28.860157
145,34.609703
146,90.12077
147,122.716095
148,107.95749
149,93.84511
150,91.570206
151,74.27722
152,134.65433
153,152.35983
154,164.7954
155,161.99208
156,147.37134
157,155.83534
158,163.8172
159,139.34818
160,73.43831
161,71.35495
162,87.491714
163,100.759964
164,116.22696
165,136.11407
166,168.91847
167,178.91713
168,189.32175
169,200.31021
170,187.83127
171,203.97038
172,214.8126
173,199.03363
174,172.1679
175,110.83113
176,110.88187
177,140.5137
178,157.16748
179,162.6881
180,163.35168
181,162.83786
182,158.48914
183,171.66562
184,173.87012
185,114.26094
186,63.35658
187,47.877014
188,44.930782
189,70.50372
190,118.59774
191,125.976776
192,55.76381
193,7.628804
194,-34.071526
195,-47.10859
196,-50.17008
197,-32.137463
198,64.78858
199,98.59898
200,117.373245
201,119.09657
202,101.57554
203,103.91046
204,120.80963
205,145.20197
206,160.30972
207,150.45102
208,125.71684
209,112.08449
210,95.21511
211,70.3466
212,50.2915
213,49.929085
214,31.902603
215,30.706516
216,31.386187
217,32.34419
218,31.408676
219,-28.683357
220,-56.177887
221,-49.412743
222,-19.705734
223,5.7920504
224,11.286692
225,6.0468335
226,-13.1601305
227,-30.722744
228,-33.262978
229,-6.96982
230,11.617345
231,-7.69747
232,-35.711838
233,-62.91125
234,-49.644444
235,-24.521729
236,-54.174362
237,-81.99346
238,-85.47017
239,-29.660421
240,15.136284
241,4.7601604
242,-34.834305
243,-58.528587
244,-21.112392
245,-29.812157
246,-38.139637
247,-12.966349
248,51.330807
249,-53.143745
250,-62.78374
251,-61.811207
252,-55.482307
253,-18.875992
254,-19.077183
255,-30.954803
256,-15.074816
257,39.720894
258,47.686333
259,6.2460756
260,11.998972
261,27.025005
262,27.160336
263,24.461693
264,45.622215
265,70.94635
266,89.45403
267,7.9266624
268,-11.117662
269,12.5608635
270,25.133705
271,13.054001
272,-36.150776
273,-58.58539
274,-77.49339
275,-70.41749
276,-38.04553
277,12.394224
278,18.160994
279,-13.480421
280,-33.041534
281,-22.141464
282,0.219939
283,-4.454072
284,-9.870371
285,-31.580492
286,-21.501896
287,-30.255169
288,-52.32057
289,-61.229706
290,-28.392284
291,7.2873507
292,7.6383953
293,-21.696106
294,-37.328964
295,-44.944664
296,-22.848213
297,-18.594126
298,-27.91378
299,-33.268074
300,-54.529427
301,-87.36621
302,-85.30458
303,-67.71422
304,-37.18025
305,-17.812836
306,-15.494993
307,-9.73649
308,-15.802614
309,-28.324696
310,-15.712513
311,3.518093
312,11.495423
313,24.7347
314,35.777603
315,25.251886
316,21.844074
317,27.621468
318,28.359573
319,31.426304
320,39.19628
321,24.794647
322,23.781086
323,25.414988
324,25.217756
325,13.373545
326,45.108307
327,60.585205
328,58.07458
329,59.74718
330,66.46875
331,72.81665
332,77.35139
333,76.005554
334,68.351715
335,65.57228
336,69.322
337,87.13274
338,86.60326
339,88.17239
340,88.49748
341,84.04901
342,61.586876
343,71.51207
344,68.80657
345,57.564613
346,50.431095
347,63.991714
348,85.11186
349,84.089615
350,79.4904
351,97.14836
352,96.155106
353,98.39572
354,93.06303
355,70.61009
356,55.014503
357,72.17227
358,89.74309
359,98.47906
360,117.92854
361,116.2298
362,116.56893
363,108.90975
364,93.40781
365,31.321033
366,28.750488
367,46.024525
368,52.96225
369,53.3192
370,44.8347
371,35.300537
372,28.420218
373,33.12153
374,73.50455
375,82.36607
376,105.18086
377,120.64902
378,106.798485
379,101.8427
380,85.122406
381,61.88736
382,54.880707
383,44.776535
384,43.20912
385,33.809364
386,31.636463
387,44.050865
388,56.58626
389,87.08175
390,86.24927
391,75.453964
392,84.829765
393,83.70285
394,95.4707
395,106.45572
396,95.029755
397,73.24864
398,56.38977
399,99.96083
400,111.88916
401,77.382
402,70.479225
403,90.31012
404,96.46662
405,99.27057
406,125.08544
407,137.8927
408,115.144516
409,111.32352
410,107.1759
411,94.05911
412,59.053646
413,92.852264
414,112.57326
415,129.37494
416,118.47331
417,112.7311
418,117.5654
419,101.55078
420,79.71277
421,77.50936
