,0
0,-526.6749
1,-533.2679
2,-538.8593
3,-539.51306
4,-303.85773
5,-139.41197
6,-74.18275
7,-80.303566
8,-104.77826
9,-105.44815
10,-108.198425
11,-109.39142
12,-101.657875
13,-139.43117
14,-211.96022
15,-235.63448
16,-223.45566
17,-226.6548
18,-252.51018
19,-287.314
20,-324.6541
21,-385.3441
22,-504.57935
23,-523.3669
24,-543.1443
25,-543.6256
26,-542.91565
27,-540.86206
28,-533.5246
29,-524.9472
30,-537.57605
31,-527.2605
32,-509.9536
33,-486.9612
34,-394.51514
35,-350.06305
36,-339.62692
37,-357.46283
38,-369.1908
39,-334.80542
40,-321.79865
41,-280.55225
42,-226.77275
43,-207.28351
44,-177.50063
45,-145.3441
46,-145.86896
47,-174.69547
48,-194.7022
49,-213.36118
50,-221.55785
51,-177.27075
52,-163.62593
53,-186.67839
54,-219.10603
55,-220.90617
56,-218.08025
57,-221.94313
58,-227.99706
59,-225.83075
60,-227.34363
61,-231.09387
62,-258.5315
63,-332.94864
64,-434.00455
65,-512.8541
66,-285.24564
67,-136.17604
68,-94.67063
69,-116.70796
70,-138.31003
71,-142.18332
72,-198.01445
73,-361.25897
74,-358.8618
75,-299.9849
76,-307.3492
77,-321.79486
78,-321.37268
79,-317.3147
80,-215.82326
81,-165.07526
82,-158.08801
83,-189.90392
84,-272.68457
85,-380.69803
86,-338.52228
87,-217.65868
88,-194.56042
89,-249.3378
90,-338.8372
91,-275.35394
92,-204.25813
93,-182.26448
94,-197.93823
95,-227.02655
96,-248.33983
97,-242.36154
98,-223.03304
99,-224.91809
100,-286.6524
101,-438.3992
102,-520.4406
103,-263.1306
104,-159.67377
105,-133.66754
106,-97.96752
107,-102.334724
108,-192.1039
109,-456.18088
110,-537.3547
111,-276.07236
112,-173.39638
113,-193.67589
114,-348.2775
115,-502.0999
116,-448.3806
117,-199.87216
118,-143.28256
119,-162.86076
120,-183.60762
121,-212.1148
122,-237.95345
123,-254.78262
124,-300.76788
125,-330.02988
126,-369.61823
127,-458.21735
128,-419.85077
129,-370.60794
130,-367.09375
131,-370.0763
132,-379.02463
133,-389.331
134,-381.3893
135,-363.82162
136,-382.91104
137,-412.19473
138,-428.64627
139,-451.0881
140,-483.51904
141,-492.35977
142,40.29923
143,32.248367
144,25.466663
145,24.212711
146,24.026566
147,96.84457
148,142.57149
149,180.754
150,188.22284
151,195.52878
152,195.89561
153,178.27834
154,129.81189
155,67.461845
156,-4.8282614
157,-37.87226
158,-35.574978
159,-34.309044
160,-50.41269
161,-63.796688
162,-59.079445
163,-23.30648
164,53.72019
165,45.99061
166,19.884876
167,19.253849
168,20.222855
169,22.989899
170,31.59168
171,40.108162
172,27.559004
173,40.322906
174,58.519722
175,80.86313
176,130.85727
177,142.34183
178,148.39015
179,153.86102
180,129.06458
181,114.352295
182,128.3514
183,140.14487
184,147.84067
185,156.3786
186,154.86334
187,149.62538
188,144.99161
189,136.86664
190,131.02655
191,130.91574
192,119.8346
193,103.85693
194,84.227005
195,55.26071
196,20.223248
197,15.7020645
198,27.087519
199,31.927244
200,30.647337
201,38.538383
202,61.129128
203,92.419846
204,109.854774
205,102.014175
206,70.83598
207,51.420753
208,118.295456
209,156.76952
210,166.71487
211,163.85327
212,175.95958
213,191.55475
214,196.8941
215,169.22601
216,178.59866
217,181.20526
218,156.67528
219,142.89882
220,159.06139
221,160.24207
222,156.14703
223,142.83948
224,125.96076
225,119.0361
226,124.0117
227,152.1006
228,124.357765
229,80.050514
230,77.46724
231,90.730965
232,119.557686
233,174.44873
234,199.58295
235,206.13889
236,192.77315
237,171.46655
238,145.2543
239,122.24306
240,109.91167
241,121.15231
242,129.47966
243,102.97893
244,43.5959
245,162.54233
246,178.12106
247,178.67877
248,181.33282
249,182.7581
250,172.18065
251,109.99811
252,27.113052
253,133.59439
254,155.3229
255,156.78534
256,139.75801
257,57.20505
258,45.772316
259,71.44593
260,88.726715
261,103.34613
262,111.52467
263,117.67844
264,127.1625
265,134.52914
266,131.27054
267,132.91733
268,142.41193
269,117.19583
270,128.1407
271,131.20355
272,133.01643
273,131.60353
274,137.02597
275,134.33899
276,129.79709
277,130.83038
278,135.84206
279,128.12492
280,118.19084
281,90.21905
282,65.418724
283,56.077457
284,32.489075
285,27.788788
286,23.78036
287,22.22464
288,-36.68141
289,-26.223492
290,-41.385647
291,-64.878235
292,-70.5735
293,-65.73043
294,-59.066498
295,-54.481495
296,-31.347198
297,4.769488
298,5.483388
299,-27.07986
300,-33.15409
301,-24.858482
302,-20.641357
303,-22.901154
304,-29.451374
305,-25.965034
306,29.957706
307,40.178047
308,19.210077
309,18.718388
310,19.60503
311,22.062626
312,27.116024
313,29.56004
314,26.482494
315,34.374954
316,41.69379
317,47.497257
318,24.166845
319,13.762871
320,19.900879
321,39.49282
322,48.157215
323,21.87344
324,12.811351
325,-2.6333058
326,-37.034866
327,-70.51543
328,-81.68113
329,-85.71379
330,-87.645966
331,-68.67554
332,-42.180176
333,-40.724926
334,-37.632683
335,-17.58292
336,1.0251778
337,17.781961
338,22.042189
339,16.61829
340,21.570427
341,19.949493
342,9.89936
343,1.0564418
344,-4.728299
345,-27.527122
346,-33.8788
347,-16.276875
348,13.877737
349,37.102592
350,-56.189445
351,-68.55836
352,-73.785736
353,-68.67523
354,-51.658623
355,-41.991913
356,-26.196278
357,37.275208
358,43.74472
359,13.432815
360,5.9993734
361,8.614109
362,26.920776
363,22.660627
364,-27.828453
365,-51.70663
366,-56.619896
367,-37.86566
368,-1.7833647
369,24.435787
370,-9.466943
371,-60.112267
372,-60.378887
373,-20.695578
374,34.75432
375,34.954674
376,15.386289
377,2.0909677
378,16.407398
379,29.01445
380,25.815052
381,5.0338535
382,-17.534496
383,-9.748762
384,8.233306
385,34.21064
386,24.373268
387,-29.91121
388,-45.94053
389,-48.40776
390,-60.05574
391,-55.44126
392,-26.24636
393,45.122517
394,23.994411
395,-37.83653
396,-50.81707
397,-46.93447
398,-23.98006
399,14.854804
400,-16.657959
401,-72.11455
402,-67.71155
403,-44.49827
404,-40.964287
405,-31.527683
406,-14.168928
407,-3.4528174
408,18.932255
409,8.228369
410,13.855724
411,70.8699
412,55.91407
413,34.62176
414,28.893997
415,24.042713
416,25.658995
417,31.61636
418,31.173046
419,33.116848
420,41.829884
421,49.693977
422,50.857704
423,40.875168
424,43.56636
425,40.154694
426,23.500795
427,23.005354
428,21.844986
429,20.377796
430,51.25298
431,76.025314
432,75.51926
433,56.33705
434,47.792458
435,44.25174
436,42.91088
437,50.833694
438,77.01394
439,106.3216
440,119.99681
441,89.72551
442,82.89533
443,91.094986
444,96.57352
445,100.784805
446,107.5207
447,91.960846
448,30.969852
449,31.905659
450,18.186142
451,17.892754
452,18.699123
453,20.891796
454,23.550583
455,24.618183
456,25.03407
457,26.83269
458,28.693964
459,26.421648
460,25.616177
461,42.593914
462,54.853096
