,0
0,-405.2373
1,-377.0992
2,-379.0499
3,-304.96588
4,-143.55266
5,-117.88117
6,-163.4123
7,-142.4621
8,-122.03712
9,-126.75495
10,-145.88855
11,-144.57452
12,-133.9026
13,-139.14761
14,-137.73624
15,-125.82193
16,-118.46755
17,-126.315926
18,-121.61321
19,-117.80337
20,-115.86135
21,-140.7178
22,-215.57642
23,-269.5804
24,-277.9505
25,-298.95987
26,-342.2687
27,-376.25015
28,-382.86917
29,-383.80612
30,-382.51093
31,-384.4727
32,-386.90442
33,-386.44327
34,-384.6032
35,-386.33777
36,-385.67062
37,-386.2848
38,-386.49124
39,-379.6485
40,-368.99667
41,-384.87988
42,-389.79126
43,-383.73343
44,-389.05676
45,-393.49408
46,-392.97397
47,-396.96445
48,-392.9633
49,-389.7849
50,-390.05655
51,-381.4142
52,-368.7523
53,-357.31952
54,-353.8594
55,-354.51758
56,-351.5434
57,-302.40588
58,-238.99576
59,-198.4335
60,-175.01321
61,-162.95932
62,-171.32907
63,-220.78433
64,-191.72723
65,-90.545586
66,-59.354145
67,-90.75528
68,-120.390175
69,-120.32184
70,-157.69067
71,-227.00983
72,-141.46184
73,-109.03228
74,-126.19543
75,-151.59361
76,-215.01085
77,-298.50845
78,-240.67053
79,-183.38173
80,-172.16554
81,-141.45816
82,-127.89366
83,-136.74443
84,-144.22145
85,-189.72595
86,-280.21835
87,-357.30154
88,-373.55872
89,-262.08276
90,-156.52155
91,-141.34227
92,-154.09474
93,-154.98073
94,-177.68285
95,-239.23782
96,-352.44315
97,-380.15598
98,-381.21454
99,-313.44086
100,-191.47646
101,-163.39209
102,-189.18211
103,-211.29489
104,-208.51752
105,-206.26732
106,-190.83107
107,-168.90117
108,-153.64047
109,-144.74669
110,-150.6226
111,-168.03828
112,-189.6749
113,-215.0169
114,-234.89156
115,-256.9846
116,-283.27927
117,-311.7501
118,-334.47012
119,-341.24402
120,-349.7884
121,-360.39478
122,-371.41336
123,-378.67914
124,-379.0202
125,-379.26102
126,-383.94617
127,-386.8382
128,-385.56265
129,-389.50168
130,-387.85233
131,-384.4681
132,-388.6343
133,-385.57233
134,-385.70782
135,-370.62527
136,-359.602
137,-362.47006
138,-368.01758
139,-377.08005
140,-376.0533
141,-376.00568
142,-382.70505
143,-384.92874
144,-384.54282
145,-386.43445
146,-384.1137
147,-382.99292
148,-376.95367
149,-379.59937
150,-358.5995
151,-232.0392
152,-216.59763
153,-256.58875
154,-219.8518
155,-194.91298
156,-187.01245
157,-174.37126
158,-162.89618
159,-150.93536
160,-153.84879
161,-150.73007
162,-137.467
163,-159.49707
164,-201.56602
165,-210.84937
166,-151.42804
167,-141.23656
168,-180.74567
169,-232.9732
170,-239.27849
171,-196.73729
172,-121.948715
173,-111.11222
174,-157.77353
175,-188.22514
176,-163.78139
177,-148.01926
178,-193.43196
179,-318.48236
180,-150.74423
181,-93.736664
182,-113.617004
183,-151.14903
184,-165.5972
185,-197.10452
186,-241.25534
187,-271.93533
188,-282.22876
189,-280.27872
190,-269.67993
191,-260.91617
192,-231.01485
193,-190.7567
194,-191.14366
195,-229.18887
196,-236.89911
197,-232.6982
198,-231.75851
199,-235.28131
200,-245.9084
201,-258.06528
202,-271.77365
203,-274.30017
204,-278.4995
205,-302.8211
206,-321.17456
207,-330.21036
208,-342.49252
209,-347.4839
210,-355.81088
211,-359.9668
212,-361.25415
213,-365.62186
214,-369.20425
215,-372.27377
216,-374.38354
217,-378.82675
218,-379.20587
219,-383.22235
220,-382.70255
221,-384.92334
222,-387.88666
223,-388.2532
224,-382.67615
225,-370.59723
226,-367.07413
227,-376.7616
228,-377.248
229,-382.99448
230,-377.57382
231,-370.5665
232,-358.6412
233,-328.73004
234,-311.9149
235,-316.82782
236,-336.79794
237,-263.31497
238,-211.665
239,-213.28337
240,-213.21384
241,-209.47261
242,-209.6337
243,-237.20023
244,-282.23666
245,-282.31036
246,-265.68317
247,-208.76408
248,-183.20901
249,-158.09837
250,-159.64565
251,-188.58862
252,-199.6497
253,-235.68263
254,-267.6119
255,-247.81816
256,-217.0123
257,-197.10901
258,-200.54921
259,-202.18884
260,-191.8405
261,-198.00615
262,-198.67107
263,-206.27824
264,-241.03404
265,-197.63226
266,-86.21722
267,-66.59632
268,-117.23826
269,-147.42688
270,-165.19814
271,-220.65367
272,-291.73395
273,-123.95931
274,-91.88502
275,-174.24332
276,-297.44693
277,-290.58667
278,-204.98572
279,-193.05353
280,-245.97438
281,-173.75993
282,-165.89612
283,-265.71188
284,-343.2477
285,-356.95297
286,-363.47995
287,-370.147
288,-381.2928
289,-384.3174
290,-382.40244
291,-381.50204
292,-396.25287
293,51.998848
294,56.23352
295,56.12445
296,70.389435
297,94.2352
298,99.78366
299,105.18782
300,124.596176
301,128.9176
302,127.17148
303,123.56593
304,93.74155
305,60.970284
306,26.052254
307,2.848445
308,4.925577
309,13.70212
310,10.159851
311,9.762129
312,13.603416
313,35.14789
314,51.383575
315,64.484116
316,101.458374
317,114.67926
318,115.137085
319,91.99568
320,58.092735
321,52.79772
322,54.253464
323,56.88713
324,54.30652
325,52.293938
326,51.712444
327,50.138855
328,49.768105
329,51.036484
330,55.30674
331,55.15287
332,60.63956
333,69.20517
334,58.318405
335,51.476566
336,51.115837
337,49.596382
338,48.50521
339,48.124012
340,47.99253
341,49.902992
342,52.5708
343,53.191742
344,57.319267
345,63.052097
346,68.68559
347,65.83383
348,62.1066
349,58.09382
350,36.226196
351,6.8246
352,-10.999415
353,-17.172771
354,-12.14151
355,8.923708
356,48.034916
357,122.87812
358,178.26782
359,179.80795
360,152.84863
361,138.36343
362,147.59427
363,132.38692
364,82.30439
365,62.812607
366,49.09234
367,32.977524
368,50.600555
369,85.871765
370,101.241425
371,83.61386
372,89.85664
373,95.163345
374,108.782104
375,112.12294
376,114.4715
377,132.32925
378,130.66766
379,91.40843
380,54.64986
381,50.732353
382,56.524757
383,75.599014
384,92.71246
385,121.0938
386,130.4748
387,134.79752
388,130.87552
389,86.07063
390,58.149075
391,52.81077
392,50.04081
393,47.407646
394,48.567574
395,55.153305
396,61.887604
397,68.55502
398,70.36864
399,69.22022
400,78.71828
401,99.46896
402,118.50085
403,115.4662
404,109.040474
405,111.73707
406,108.23108
407,95.4842
408,88.04045
409,83.79347
410,76.086426
411,72.891464
412,73.48155
413,67.816505
414,63.919357
415,61.035713
416,55.83303
417,54.644707
418,54.94619
419,52.701256
420,50.6293
421,53.126434
422,53.07914
423,54.694176
424,52.356556
425,49.95441
426,51.504333
427,53.650772
428,62.48168
429,64.90847
430,62.10652
431,60.093334
432,54.065384
433,50.09118
434,49.586388
435,49.940414
436,51.796738
437,54.973614
438,54.43364
439,56.21547
440,55.26098
441,57.207615
442,56.239037
443,43.290577
444,41.732742
445,52.70476
446,102.87454
447,126.69437
448,118.62103
449,77.410866
450,44.28502
451,28.458374
452,24.10104
453,41.050804
454,100.68898
455,116.43045
456,110.17064
457,109.28921
458,100.677444
459,98.999344
460,102.86929
461,115.491264
462,116.99891
463,33.03688
464,-34.193123
465,-1.3875177
466,30.539154
467,68.71976
468,93.8685
469,57.565025
470,25.032118
471,-0.3496241
472,6.120475
473,49.74566
474,62.571007
475,90.89317
476,136.16083
477,135.44958
478,138.54605
479,135.30786
480,129.0374
481,122.12268
482,124.047356
483,128.07541
484,134.69095
485,141.52945
486,149.14066
487,146.5635
488,125.37761
489,110.00582
490,107.176254
491,107.775185
492,104.59268
493,101.17309
494,97.57922
495,94.92195
496,90.60834
497,84.66664
498,70.538445
499,65.98111
500,63.536163
501,60.2023
502,58.797935
503,55.670525
504,57.03412
505,59.588165
506,57.83175
507,57.478912
508,61.29596
509,61.774364
510,60.799118
511,61.155373
512,53.10443
513,50.649925
514,48.79137
515,48.22844
516,52.637722
517,62.394924
518,59.243618
519,52.742752
520,50.19564
521,49.430794
522,49.34465
523,54.20741
524,56.57762
525,54.32105
526,45.17907
527,25.151943
528,21.50792
529,50.90415
530,49.466892
531,58.884773
532,73.82213
533,82.83945
534,88.99936
535,93.70558
536,99.38193
537,98.90658
538,92.82507
539,88.65833
540,81.964966
541,103.11507
542,128.4747
543,117.02051
544,96.0061
545,104.38597
546,111.176895
547,102.99082
548,108.71199
549,117.12875
550,122.61427
551,121.08426
552,124.18559
553,134.31558
554,124.739334
555,111.24214
556,98.3612
557,79.341736
558,63.329567
559,50.363403
560,40.12049
561,2.498807
562,-15.716158
563,-17.508026
564,-25.443611
565,32.065388
566,91.419205
567,95.74336
568,83.69397
569,75.12244
570,93.50253
571,127.42119
572,126.531204
573,99.263306
574,124.895966
575,126.63568
576,100.83136
577,73.24292
578,68.41577
579,59.801765
580,57.021736
581,51.25451
582,45.239086
583,47.839104
584,47.789513
585,45.32994
586,26.51289
587,21.97341
588,26.710236
589,-12.095221
590,-50.398483
591,-48.71775
592,-28.248947
593,-34.370377
594,-50.534676
595,-56.76522
596,-52.229095
597,-38.979034
598,-27.653671
599,-31.433195
600,-50.726303
601,-60.67007
602,-57.03858
603,-52.17686
604,-53.710323
605,-52.5512
606,-35.201206
607,-19.799522
608,-2.0079334
609,6.090193
610,12.238497
611,26.248646
612,39.40265
613,24.674007
614,20.696194
615,22.05151
616,24.20465
617,23.458103
618,27.346651
619,27.897701
620,23.946281
621,24.706522
622,24.835735
623,28.683235
624,27.517405
625,28.385422
626,27.508791
627,28.64708
628,26.74878
629,22.854923
630,22.226662
631,21.670906
632,25.237085
633,28.266872
634,25.35939
635,24.715363
636,26.336683
637,20.037056
638,8.336092
639,5.9119034
640,1.0150305
641,-1.8791928
642,-7.9679832
643,-42.236572
644,-61.25756
645,-67.98648
646,-75.50547
647,-80.44174
648,-73.34503
649,-38.98648
650,-24.956078
651,-54.171932
652,-68.88614
653,-69.71496
654,-58.16693
655,-37.73504
656,-16.134119
657,-13.846766
658,-48.53174
659,-48.412148
660,-41.135784
661,-20.716278
662,-1.7655628
663,21.280262
664,-37.464497
665,-51.970688
666,-40.90337
667,-38.141094
668,-47.95739
669,-55.585846
670,-39.021713
671,-21.529095
672,0.19675986
673,15.411853
674,21.195232
675,-22.016346
676,-38.707954
677,-38.333855
678,-40.715813
679,-35.852264
680,-24.531143
681,1.6194584
682,42.146927
683,25.177475
684,21.23661
685,-6.31852
686,-41.671425
687,-53.23369
688,-43.63008
689,-13.550692
690,-7.9788094
691,-16.998577
692,-31.105532
693,-42.31922
694,-37.908512
695,-34.935326
696,-44.15265
697,-54.164204
698,-47.062805
699,-37.84134
700,-40.801037
701,-36.106247
702,-25.950253
703,-15.949215
704,-4.170253
705,1.2781081
706,4.0737247
707,13.254186
708,23.282227
709,26.689861
710,23.19885
711,23.071716
712,21.258512
713,21.814459
714,22.74775
715,27.951492
716,29.131964
717,23.970577
718,22.358603
719,22.13287
720,25.043724
721,23.143698
722,16.800858
723,14.758709
724,20.296965
725,29.755268
726,30.569212
727,26.172665
728,25.54952
729,25.497292
730,26.370123
731,27.091507
732,31.029926
733,30.004646
734,24.19256
735,22.992401
736,10.961072
737,-29.960508
738,-25.458933
739,8.755285
740,-5.8282824
741,-6.2459583
742,-17.339539
743,-52.114098
744,-63.654037
745,-61.16108
746,-51.10373
747,-31.81049
748,-32.45409
749,-25.900034
750,-11.191122
751,-15.012768
752,-33.571106
753,-34.72348
754,-16.502178
755,16.4095
756,28.535019
757,-21.847439
758,-34.446175
759,-31.231281
760,-14.969397
761,-25.399494
762,-34.869755
763,-46.90791
764,-44.323936
765,-2.8363194
766,-55.72298
767,-55.278553
768,-33.14964
769,-39.213512
770,-38.910934
771,-21.663147
772,4.087883
773,28.549276
774,38.246582
775,46.497322
776,45.986298
777,39.10412
778,17.649717
779,1.0588173
780,4.7720995
781,8.9964695
782,-3.329595
783,-13.407778
784,-15.491641
785,-11.905374
786,-11.012499
787,-11.794147
788,-8.945702
789,-12.311287
790,-16.278452
791,-21.358559
792,-16.6903
793,-14.140099
794,-9.374134
795,-3.6766076
796,1.940958
797,4.134167
798,6.430868
799,10.522743
800,12.791061
801,20.573238
802,22.930544
803,25.867086
804,24.979618
805,24.7323
806,27.794983
807,29.072063
808,25.731092
809,27.252724
810,29.554077
811,25.14348
812,15.865678
813,18.990105
814,19.534702
815,23.105974
816,18.084248
817,12.546296
818,10.897127
819,7.154048
820,8.855117
821,10.624497
822,7.6312103
823,-14.845896
824,-27.07574
825,-28.30486
826,-33.93788
827,-34.614304
828,-34.902718
829,-20.29782
830,14.919205
831,19.091805
832,4.663585
833,-33.95577
