,0
0,-530.62854
1,-506.45697
2,-502.45486
3,-393.78738
4,-301.19064
5,-213.06166
6,-177.55746
7,-185.16167
8,-195.89374
9,-185.64287
10,-181.1526
11,-194.91037
12,-194.46419
13,-184.53789
14,-186.89413
15,-192.85002
16,-224.41704
17,-300.19473
18,-371.48904
19,-360.16327
20,-323.9005
21,-303.85245
22,-280.0135
23,-210.63782
24,-172.87073
25,-186.93768
26,-227.99318
27,-231.33746
28,-197.39935
29,-125.4618
30,-97.18793
31,-119.96781
32,-145.6114
33,-140.38835
34,-132.14732
35,-151.1443
36,-176.75577
37,-147.59283
38,-157.93477
39,-212.22253
40,-228.7954
41,-171.9194
42,-147.68443
43,-178.8778
44,-234.21777
45,-291.2134
46,-300.90726
47,-306.00403
48,-323.2403
49,-241.8636
50,-163.79466
51,-117.945145
52,-99.742905
53,-122.25103
54,-178.15372
55,-314.27197
56,-271.75073
57,-217.3942
58,-273.49017
59,-454.5754
60,-443.9428
61,-307.19467
62,-182.60445
63,-134.4342
64,-131.27098
65,-145.4558
66,-181.87523
67,-246.0038
68,-288.6912
69,-323.74945
70,-335.08548
71,-350.16495
72,-365.85965
73,-363.44485
74,-297.20602
75,-295.94113
76,-375.3815
77,-401.65002
78,-422.12622
79,-449.556
80,-473.98672
81,-492.83167
82,-498.45804
83,-497.1053
84,-501.015
85,-479.5521
86,-460.0699
87,-451.7499
88,-440.60498
89,-439.71014
90,-441.7785
91,-434.42612
92,-423.74753
93,-416.03143
94,-416.4656
95,-418.17114
96,-420.61847
97,-411.98422
98,-408.37585
99,-412.76016
100,-413.27576
101,-422.93637
102,-431.1148
103,-440.77023
104,-450.33115
105,-462.7692
106,-476.12912
107,-480.44
108,-481.48593
109,-487.47208
110,-498.3331
111,-476.76224
112,-471.84085
113,-485.80463
114,-491.44342
115,-499.6879
116,-496.53775
117,-486.74146
118,-483.1767
119,-482.13773
120,-488.5655
121,-488.3458
122,-494.76755
123,-495.18036
124,-486.74207
125,-485.8856
126,-482.42386
127,-475.48114
128,-474.2973
129,-477.31036
130,-479.27753
131,-480.0474
132,-477.28214
133,-477.53082
134,-476.89413
135,-477.2987
136,-477.09302
137,-426.22656
138,-260.1382
139,-186.5695
140,-184.91289
141,-241.86375
142,-330.96295
143,-358.81995
144,-408.83823
145,-476.41098
146,-495.47122
147,-497.33823
148,-194.92123
149,-84.262505
150,-70.5547
151,-105.023636
152,-148.59154
153,-212.50417
154,-279.0673
155,-289.97824
156,-265.478
157,-203.44714
158,-161.07933
159,-163.21173
160,-255.59746
161,-202.93123
162,-154.86595
163,-223.58553
164,-170.50081
165,-99.46348
166,-113.78772
167,-132.75648
168,-135.05359
169,-146.90112
170,-169.78117
171,-194.77458
172,-235.7278
173,-214.02765
174,-143.21198
175,-134.32486
176,-142.13467
177,-133.96179
178,-168.11168
179,-267.8465
180,-229.1912
181,-139.96117
182,-123.27256
183,-141.72598
184,-171.98264
185,-213.81583
186,-260.2503
