,0
0,-429.77206
1,-432.4368
2,-288.06015
3,-205.98766
4,-185.92783
5,-187.23001
6,-192.76794
7,-145.51967
8,-121.52493
9,-113.729866
10,-141.09004
11,-256.77078
12,-168.49226
13,-92.36176
14,-97.67274
15,-141.16493
16,-197.0556
17,-250.17244
18,-217.01006
19,-162.92729
20,-168.39163
21,-236.21304
22,-291.9185
23,-236.85768
24,-179.7007
25,-174.22252
26,-126.97863
27,-114.60723
28,-135.36397
29,-133.99667
30,-194.3245
31,-366.69855
32,-425.24426
33,-360.08383
34,-302.59106
35,-173.02647
36,-140.92932
37,-158.80046
38,-173.25482
39,-181.29321
40,-194.86656
41,-213.54439
42,-232.94193
43,-280.83926
44,-316.14087
45,-323.45325
46,-354.10507
47,-339.40433
48,-328.52078
49,-330.6659
50,-323.3114
51,-292.302
52,-273.0747
53,-269.93698
54,-252.5259
55,-240.25772
56,-235.32819
57,-228.2539
58,-244.96815
59,-256.02838
60,-221.65175
61,-192.74074
62,-185.56676
63,-197.88864
64,-202.81303
65,-186.13718
66,-216.637
67,-250.07301
68,-186.22488
69,-168.25983
70,-190.50284
71,-198.21404
72,-203.4395
73,-213.65567
74,-196.32921
75,-185.76091
76,-224.7222
77,-267.4361
78,-242.6614
79,-216.33939
80,-210.57755
81,-233.79967
82,-271.82016
83,-309.3701
84,-320.79675
85,-310.13416
86,-325.8541
87,-355.63278
88,-355.00974
89,-370.9343
90,-386.24982
91,-412.1911
92,-448.72653
93,-477.67377
94,-490.93304
95,-497.7191
96,-514.67993
97,107.53221
98,114.2804
99,83.99815
100,121.1293
101,143.93991
102,143.19598
103,128.73422
104,151.38818
105,155.52173
106,151.60477
107,147.19751
108,120.916245
109,108.253105
110,151.2149
111,176.43417
112,149.9809
113,85.79941
114,51.24034
115,62.681202
116,100.349
117,140.02756
118,178.79909
119,179.62604
120,150.41739
121,114.14583
122,91.76907
123,152.04417
124,185.32477
125,176.22125
126,171.37138
127,159.81839
128,114.36024
129,14.567163
130,-26.893808
131,-27.074368
132,103.71761
133,171.74847
134,188.91025
135,166.31506
136,162.61731
137,146.6372
138,144.10231
139,161.9376
140,157.26361
141,152.19237
142,164.27292
143,150.80045
144,137.9656
145,156.27167
146,165.13594
147,167.81464
148,156.22137
149,123.01337
150,95.854385
151,110.06166
152,112.76927
153,108.132866
154,79.68103
155,50.362366
156,44.09155
157,66.87159
158,93.54669
159,136.3945
160,133.83035
161,141.14325
162,166.36026
163,177.24107
164,165.60635
165,166.58743
166,152.87657
167,125.88977
168,122.965805
169,112.30388
170,103.17865
171,103.72128
172,105.83403
173,120.82419
174,155.70377
175,144.16287
176,130.57852
177,140.66278
178,141.07797
179,128.21338
180,106.401344
181,110.67227
182,129.32104
183,143.26077
184,168.7363
185,164.69984
186,141.23613
187,128.63657
188,119.57443
189,100.14049
190,78.12836
191,63.71969
