,0
0,-414.08414
1,-382.64847
2,-371.89587
3,-372.55472
4,-338.24362
5,-282.75366
6,-210.82024
7,-172.08823
8,-158.04457
9,-152.02666
10,-163.308
11,-173.55705
12,-176.98262
13,-176.53436
14,-171.48631
15,-166.77075
16,-172.43968
17,-185.72523
18,-205.8315
19,-229.61482
20,-266.60565
21,-329.81238
22,-371.99728
23,-390.7472
24,-396.26147
25,-399.246
26,-405.49432
27,-364.36523
28,-351.62762
29,-382.10486
30,-400.11508
31,-386.57
32,-368.27933
33,-385.7122
34,-399.2147
35,-396.4192
36,-388.73254
37,-392.31607
38,-392.30905
39,-392.57864
40,-387.17648
41,-387.5089
42,-386.07776
43,-380.35056
44,-382.07407
45,-382.1506
46,-367.1207
47,-310.7865
48,-253.79472
49,-217.72923
50,-179.01566
51,-143.52661
52,-130.23349
53,-119.43721
54,-144.64345
55,-211.79846
56,-245.73846
57,-151.86597
58,-83.61611
59,-107.154236
60,-191.99825
61,-222.1875
62,-261.84286
63,-269.032
64,-201.71733
65,-154.92046
66,-154.84373
67,-171.13232
68,-163.15515
69,-151.64648
70,-160.02852
71,-187.36263
72,-194.19585
73,-192.725
74,-173.67415
75,-175.894
76,-271.66553
77,-391.84637
78,-394.30157
79,-204.99295
80,-89.081764
81,-87.92625
82,-165.42484
83,-213.37146
84,-232.64383
85,-222.22473
86,-224.84218
87,-222.72064
88,-275.9884
89,-266.76587
90,-195.8654
91,-217.48099
92,-315.4355
93,-308.38623
94,-280.43478
95,-268.49512
96,-272.5448
97,-288.99902
98,-306.19293
99,-327.2249
100,-334.67905
101,-343.2072
102,-362.2492
103,-367.10828
104,-373.26706
105,-384.92374
106,-389.70187
107,-392.17355
108,-395.81802
109,-397.97595
110,-401.3359
111,-402.3173
112,-403.30057
113,-400.62558
114,-402.25635
115,-401.3732
116,-401.42236
117,-402.509
118,-402.36758
119,-399.56638
120,-399.22314
121,-394.56088
122,-392.1827
123,-396.2169
124,-400.25006
125,-399.60526
126,-401.3756
127,-400.15988
128,-398.73007
129,-398.64178
130,-202.45386
131,-138.76953
132,-170.4175
133,-242.33667
134,-222.40747
135,-222.54988
136,-208.27794
137,-179.4183
138,-174.74658
139,-178.51077
140,-185.96951
141,-189.5991
142,-202.18292
143,-244.20259
144,-224.94644
145,-122.02491
146,-122.459984
147,-204.68307
148,-243.65823
149,-266.48944
150,-247.82571
151,-235.70894
152,-241.86133
153,-263.80618
154,-296.69397
155,-308.52
156,-295.58536
157,-309.1905
158,-330.95044
159,-119.47355
160,-68.629196
161,-120.21081
162,-222.19566
163,-232.6831
164,-219.38876
165,-181.72426
166,-158.91539
167,-146.72978
168,-149.26501
169,-152.73016
170,-176.36307
171,-243.22134
172,-263.90604
173,-118.432076
174,-100.28632
175,-183.63661
176,-216.44691
177,-206.2432
178,-215.95999
179,-234.87791
180,-254.55559
181,-287.8619
182,-323.63828
183,-334.23383
184,-335.06793
185,-353.00143
186,-368.86044
187,-374.1761
188,-378.76086
189,44.257015
190,49.63804
191,52.719395
192,58.905952
193,64.98926
194,87.11054
195,124.12298
196,133.42816
197,126.73297
198,130.15845
199,131.7982
200,95.08916
201,43.402534
202,12.438868
