,0
0,-520.50366
1,-519.97455
2,-482.98206
3,-261.80908
4,-162.16974
5,-149.24805
6,-153.06084
7,-141.05424
8,-155.49992
9,-179.57893
10,-188.9108
11,-190.11293
12,-188.19424
13,-182.2878
14,-135.3574
15,-97.33716
16,-83.92898
17,-98.50168
18,-140.10216
19,-232.0019
20,-305.55255
21,-210.90895
22,-163.70699
23,-158.36581
24,-193.88298
25,-256.73398
26,-321.73267
27,-216.572
28,-153.3856
29,-137.08757
30,-162.94458
31,-250.61894
32,-418.35785
33,-468.92047
34,-398.67126
35,-251.4181
36,-192.26451
37,-185.04393
38,-204.93456
39,-273.69952
40,-441.09073
41,-504.65952
42,-291.32568
43,-219.91728
44,-234.79747
45,-267.8828
46,-270.0279
47,-240.87833
48,-235.416
49,-228.47505
50,-207.87822
51,-200.7541
52,-248.63808
53,-378.74683
54,-308.56305
55,-233.91489
56,-217.10442
57,-241.67752
58,-298.03497
59,-287.15942
60,-229.95914
61,-205.87424
62,-224.56384
63,-275.55966
64,-263.7852
65,-220.75531
66,-221.53339
67,-242.86641
68,-332.35562
69,-278.53693
70,-217.44362
71,-211.96959
72,-234.00133
73,-222.61797
74,-210.80301
75,-227.19135
76,-274.61893
77,-214.71736
78,-158.2459
79,-177.8601
80,-215.64955
81,-236.62488
82,-264.51584
83,-266.20132
84,-260.38086
85,-265.25278
86,-281.51443
87,-291.9826
88,-310.4173
89,-327.50497
90,-330.10263
91,-327.22644
92,-311.4044
93,-308.79922
94,-271.11023
95,-239.49213
96,-242.72968
97,-236.24983
98,-281.31415
99,-356.44547
100,-360.60413
101,-369.79044
102,-345.37476
103,-283.21588
104,-251.42851
105,-258.9846
106,-317.1472
107,-352.25116
108,-331.13635
109,-321.40512
110,-314.43253
111,-294.5303
112,-261.70798
113,-226.45177
114,-208.8311
115,-222.42325
116,-253.23138
117,-312.63824
118,-275.36182
119,-198.62799
120,-188.90492
121,-206.39677
122,-194.33223
123,-193.47781
124,-232.96393
125,-327.68246
126,-334.20367
127,-212.88322
128,-208.46802
129,-290.96252
130,-345.99414
131,-427.08273
132,-522.52045
133,-298.37134
134,-239.80319
135,-283.65927
136,-382.18915
137,-452.9327
138,-430.28638
139,-439.6771
140,-519.83936
141,48.21467
142,50.127884
143,43.2003
144,61.86789
145,119.95349
146,153.54489
147,119.48653
148,58.330654
149,7.6640067
150,-35.207626
151,-37.526566
152,-15.841242
153,45.083294
154,156.60184
155,179.41354
156,150.051
157,138.07416
158,136.84567
159,147.87234
160,137.80118
161,49.035484
162,40.293728
163,58.736794
164,94.22824
165,140.03204
166,177.7946
167,179.82147
168,167.17627
169,168.80927
170,156.7739
171,155.1111
172,151.55396
173,129.93552
174,96.9693
175,91.27506
176,118.988785
177,145.05865
178,151.42374
179,167.33228
180,182.33829
181,133.85364
182,61.513428
183,78.09166
184,61.436745
185,30.952543
186,36.09449
187,72.65863
188,81.84186
189,73.76552
190,85.41611
191,112.16919
192,144.05377
193,168.10593
194,176.94574
195,155.03766
196,145.82242
197,139.8522
198,117.39017
199,66.03662
200,70.05508
201,120.1557
202,125.4096
203,124.72237
204,148.48813
205,129.99661
206,112.08476
207,101.52481
208,107.69354
209,96.48529
210,43.28073
211,50.059868
212,73.418076
213,81.825134
214,66.81482
215,44.75657
216,7.710795
217,-2.379826
218,64.10144
219,107.28968
220,142.47034
221,170.23932
222,194.00677
223,193.60556
224,187.65076
225,188.01364
226,192.31679
227,183.66661
228,171.2695
229,178.4361
230,170.02634
231,158.02838
232,163.47594
233,156.22757
234,155.87439
235,127.81439
236,108.53482
237,96.018555
238,125.99013
239,153.83112
240,181.56822
241,176.24982
242,155.47029
243,146.25995
244,119.231
245,106.820816
246,125.05906
247,151.78714
248,153.0622
249,164.58472
250,166.81165
251,164.52206
252,166.09741
253,166.20761
254,149.92004
255,137.44719
256,123.01749
257,114.87271
258,96.56401
259,47.88706
260,25.280785
261,4.4224987
262,-9.118674
263,-1.2546567
264,-13.808367
265,-39.223854
266,-58.875324
267,56.194023
268,91.87245
269,110.20213
270,132.53278
271,138.978
272,117.63864
273,47.401707
274,117.76944
275,127.46252
276,115.56784
277,88.81079
278,74.18274
279,26.130737
280,19.24828
281,33.054466
282,35.959785
283,40.15354
284,15.76516
285,-21.424774
286,-15.782183
287,-17.94414
288,-15.989735
289,-6.653017
290,-19.00584
291,-54.291157
292,-70.90068
293,-72.59259
294,-41.36033
295,-30.444595
296,-68.480774
297,-91.797104
298,-103.76601
299,-93.239685
300,-59.697258
301,-21.268991
302,-25.947502
303,-32.195858
304,-21.914642
305,-19.699781
306,-16.24295
307,15.951739
308,33.011463
309,-6.2646766
310,-26.135962
311,-44.396595
312,-31.375107
313,0.27881765
314,47.352554
315,38.436577
316,3.8052812
317,-15.0406475
318,-25.005226
319,-33.148838
320,-16.883629
321,12.98605
322,72.08621
323,36.902718
324,-54.291843
325,-69.01495
326,-63.30982
327,-24.527601
328,7.3362627
329,-6.5188065
330,-25.000305
331,-31.918396
