,0
0,-513.8228
1,-507.36728
2,-521.8374
3,-496.17844
4,-371.09662
5,-299.16913
6,-257.88016
7,-191.75647
8,-146.8641
9,-166.70425
10,-168.78746
11,-138.17734
12,-111.52836
13,-114.158554
14,-104.12563
15,-99.36409
16,-89.47739
17,-128.3162
18,-219.27551
19,-251.25656
20,-191.61014
21,-122.02402
22,-126.839165
23,-162.59196
24,-143.51033
25,-185.38281
26,-229.22713
27,-133.72859
28,-94.616875
29,-64.36485
30,-71.50532
31,-87.66069
32,-90.544334
33,-71.0963
34,-63.739727
35,-100.83501
36,-139.83604
37,-150.52197
38,-181.68353
39,-235.04462
40,-241.00339
41,-215.46341
42,-203.215
43,-218.80255
44,-209.00223
45,-200.10114
46,-201.82184
47,-238.65575
48,-242.29114
49,-144.60822
50,-84.294304
51,-80.10703
52,-163.24185
53,-298.84402
54,-188.49963
55,-138.27962
56,-138.76552
57,-117.101685
58,-103.26587
59,-107.6788
60,-114.79979
61,-108.76505
62,-114.5308
63,-133.99155
64,-204.19936
65,-305.93033
66,-301.08496
67,-294.35416
68,-300.71124
69,-286.3463
70,-301.81064
71,-380.70358
72,-449.5123
73,-479.34982
74,-514.9702
75,-555.4897
76,-555.4897
77,-379.4263
78,-195.48206
79,-120.69821
80,-124.31474
81,-183.99881
82,-285.70697
83,-226.41495
84,-164.73341
85,-114.94692
86,-97.93744
87,-82.00024
88,-99.95316
89,-196.94255
90,-304.73447
91,-259.52435
92,-218.3603
93,-246.45213
94,-329.05994
95,-262.31415
96,-208.45433
97,-171.45602
98,-138.22372
99,-150.21854
100,-217.88754
101,-226.0793
102,-181.99457
103,-148.92166
104,-160.40091
105,-179.42517
106,-237.87332
107,-259.34668
108,-202.28096
109,-161.61272
110,-147.39603
111,-110.349525
112,-76.950264
113,-73.43337
114,-71.65602
115,-107.57356
116,-197.19392
117,-201.20161
118,-157.78372
119,-129.11565
120,-143.64407
121,-220.20502
122,-296.69653
123,-281.0394
124,-221.71742
125,-161.93092
126,-150.243
127,-128.5871
128,-132.119
129,-204.2337
130,-322.86465
131,-432.52426
132,-505.50116
133,-537.42474
134,-546.697
135,40.470116
136,43.08577
137,36.326622
138,51.356606
139,17.388462
140,-2.2788112
141,-21.395779
142,2.6708448
143,27.147503
144,46.38402
145,112.12692
146,144.01082
147,145.93031
148,133.42938
149,163.75993
