,0
0,-423.33664
1,-401.45193
2,-400.5165
3,-398.5014
4,-397.8923
5,-388.3998
6,-375.94644
7,-368.4533
8,-352.79642
9,-330.69528
10,-306.70572
11,-282.756
12,-239.97449
13,-196.6205
14,-180.97736
15,-190.16689
16,-249.16713
17,-193.8421
18,-94.30139
19,-105.855896
20,-186.53752
21,-184.3503
22,-179.47626
23,-180.87715
24,-189.98038
25,-203.99889
26,-217.11885
27,-212.70016
28,-173.99066
29,-151.80232
30,-156.29529
31,-150.90018
32,-147.62051
33,-172.92455
34,-213.55742
35,-244.1736
36,-255.63809
37,-251.15868
38,-259.48523
39,-282.04718
40,-274.48
41,-211.17163
42,-222.59183
43,-323.75745
44,-369.9723
45,-388.54572
46,-201.89743
47,-132.9328
48,-166.9756
49,-277.09695
50,-333.19824
51,-364.3827
52,-386.04404
53,-405.21973
54,-408.45105
55,-399.40768
56,-386.0663
57,-373.39157
58,-344.08984
59,-317.91898
60,-310.28717
61,-317.5903
62,-354.12308
63,-387.8244
64,-400.34726
65,-405.836
66,-404.68744
67,-404.71625
68,-403.68442
69,-402.04733
70,-405.10745
71,-405.15976
72,-353.38678
73,-167.68709
74,-132.11263
75,-202.7153
76,-263.00842
77,-180.29066
78,-149.22615
79,-167.16312
80,-176.7549
81,-155.62357
82,-151.2227
83,-155.1825
84,-172.3211
85,-223.1943
86,-266.0385
87,-255.19365
88,-229.3035
89,-109.45456
90,-84.9863
91,-156.55229
92,-219.90744
93,-212.24812
94,-225.3443
95,-230.10654
96,-213.90416
97,-203.0593
98,-205.39801
99,-208.57323
100,-213.51862
101,-217.76062
102,-203.88571
103,-177.17029
104,-150.45306
105,-150.22571
106,-178.88577
107,-185.0893
108,-171.31801
109,-155.92586
110,-169.31471
111,-222.95248
112,-251.49251
113,-238.21634
114,-198.87962
115,-186.76549
116,-176.61028
117,-173.50426
118,-158.14105
119,-160.63559
120,-153.76582
121,-151.1623
122,-152.27072
123,-151.93231
124,-151.46422
125,-158.37267
126,-168.64749
127,-187.94298
128,-231.70251
129,-265.8925
130,-271.5789
131,-272.41037
132,-284.6288
133,-300.7573
134,-322.2685
135,-340.9881
136,-359.12845
137,46.356064
138,54.911804
139,55.86462
140,52.70231
141,56.31166
142,63.83954
143,66.6343
144,71.147446
145,78.02199
146,82.052475
147,87.115204
148,87.69371
149,109.05018
150,128.06616
151,128.68576
152,132.05037
153,115.08363
154,69.09243
155,76.91846
156,84.16625
157,109.178085
158,117.767715
159,116.555374
160,121.52466
161,125.26036
162,125.41937
163,115.37129
164,118.50406
165,144.52661
166,148.47568
167,134.4343
168,133.11682
169,137.03839
170,136.46075
171,136.43611
172,114.66893
173,96.69091
174,104.04366
175,111.84673
176,103.03894
177,97.78541
178,66.30814
179,51.507557
180,50.93868
181,54.70399
182,53.595245
183,92.21184
184,98.12776
185,86.81678
186,47.230003
187,65.891
188,77.29537
189,66.52193
