,0
0,-490.69135
1,-492.13754
2,-490.3253
3,-507.28082
4,-500.23804
5,-253.40015
6,-196.90404
7,-223.45683
8,-252.10216
9,-221.22731
10,-187.60568
11,-199.81615
12,-209.3144
13,-172.93947
14,-156.59676
15,-149.73334
16,-163.96805
17,-150.23563
18,-92.49028
19,-96.40277
20,-119.90667
21,-158.31758
22,-196.50494
23,-238.63992
24,-208.25908
25,-152.23708
26,-167.70088
27,-240.6977
28,-314.31244
29,-331.06836
30,-254.9981
31,-210.93298
32,-222.59311
33,-196.33728
34,-129.21669
35,-108.29668
36,-108.59918
37,-124.27682
38,-151.9076
39,-236.83559
40,-369.8445
41,-240.78505
42,-207.43845
43,-233.6628
44,-217.7673
45,-132.83998
46,-83.12753
47,-103.15876
48,-127.643074
49,-146.53941
50,-156.29959
51,-161.8962
52,-171.57944
53,-185.0798
54,-215.85036
55,-246.33937
56,-292.98834
57,-331.60928
58,-335.3963
59,-349.3337
60,-359.8184
61,-357.94077
62,-356.50134
63,-366.64288
64,-384.73495
65,-388.1172
66,-375.5242
67,-362.1161
68,-361.14133
69,-382.60574
70,-354.47763
71,-334.63922
72,-364.86697
73,-407.53537
74,-428.4329
75,-453.4359
76,-461.32626
77,-468.3391
78,-482.6034
79,-490.82404
80,-489.93866
81,-442.94434
82,-420.8561
83,-457.2609
84,-418.59286
85,-390.14224
86,-420.40848
87,-365.4104
88,-211.03323
89,-165.30914
90,-184.2648
91,-195.33139
92,-199.1092
93,-204.8749
94,-184.02567
95,-178.20937
96,-163.01344
97,-145.0166
98,-177.55296
99,-206.93999
100,-194.98393
101,-174.1751
102,-154.62509
103,-162.7511
104,-207.60657
105,-210.12828
106,-162.97586
107,-178.88223
108,-265.99402
109,-289.17395
110,-231.59656
111,-168.13748
112,-138.35545
113,-139.83696
114,-169.30095
115,-200.81242
116,-218.99767
117,-231.50558
118,-258.11
119,-316.9383
120,-290.24356
121,-255.26198
122,-260.18427
123,-195.23544
124,-191.37936
125,-243.96124
126,-260.54242
127,-277.3034
128,-294.5952
129,-316.7801
130,-351.16302
131,-345.0863
132,-309.69235
133,-313.16452
134,-342.5406
135,-372.4097
136,-389.52808
137,-403.98575
138,-405.1966
139,-407.98602
140,-422.38638
141,-429.19046
142,-438.19028
143,-469.76376
144,70.96283
145,56.99041
146,48.966896
147,38.847023
148,34.617367
149,98.14807
150,108.44564
151,121.23189
152,125.20558
153,132.77347
154,142.62175
155,138.83896
156,141.6388
157,156.66037
158,159.48285
159,167.78342
160,160.83153
161,142.25392
162,181.31268
163,206.47797
164,195.36742
165,142.9501
166,72.536285
167,60.34438
168,73.49719
169,127.47661
170,175.49326
171,190.90215
172,155.57278
173,126.354935
174,119.61728
175,115.13451
176,115.88797
177,148.79756
178,188.48508
179,199.7407
180,207.55396
181,198.3594
182,176.2987
183,136.43924
184,6.3829694
185,17.293646
186,9.303325
187,-33.577316
188,-42.05163
189,60.5772
190,156.66273
191,224.66325
192,226.07463
193,204.4816
194,194.94244
195,197.11993
196,195.34267
197,185.18527
198,178.41728
199,184.79002
200,180.60918
201,170.0894
202,165.9617
203,156.68396
204,146.58005
205,131.18672
206,113.486824
207,91.731186
208,70.7383
209,66.526855
210,74.266556
211,85.480255
212,88.83244
213,78.206245
214,102.12868
215,116.35092
216,100.415665
217,65.905945
218,62.5737
219,58.130173
220,56.66072
221,61.497696
222,56.899353
223,56.270355
224,57.063362
225,57.37034
226,58.24546
227,57.11657
228,83.29874
229,92.20752
230,84.78529
231,68.947075
232,152.01794
233,197.37384
234,219.97528
235,211.66461
236,176.25089
237,120.081024
238,137.3128
239,174.7059
240,177.85352
241,138.30295
242,80.34935
243,34.53283
244,45.5169
245,90.320816
246,134.28023
247,156.79132
248,150.61676
249,156.44458
250,178.05789
251,183.56642
252,183.10686
253,187.22888
254,205.86511
255,211.01202
256,204.86418
257,189.71313
258,162.51547
259,141.83545
260,139.88396
261,150.94916
262,165.59982
263,168.09769
264,128.49478
265,117.463776
266,117.640785
267,117.60282
268,128.18117
269,142.82614
270,139.56491
271,137.50009
272,133.7016
273,126.358734
274,133.56367
275,178.6506
276,186.05997
277,170.44278
278,151.41385
279,135.32114
280,120.95755
281,106.40013
282,92.997986
283,83.29897
284,70.63829
285,65.76646
286,63.963757
287,55.90072
288,36.479645
289,19.338226
290,1.7980223
291,14.280121
292,20.161186
293,-29.0285
294,-26.995277
295,2.5201478
296,10.954758
297,-5.8753567
298,-7.8679256
299,-4.9800625
300,-6.188841
301,-14.407537
302,-21.845448
303,-12.1690445
304,4.633136
305,-7.7957926
306,-30.822971
