,0
0,-530.98773
1,-525.9046
2,-527.50525
3,-527.5032
4,-508.5832
5,-465.56866
6,-429.26483
7,-350.9268
8,-249.24954
9,-197.80634
10,-174.13853
11,-156.5537
12,-152.41565
13,-164.53296
14,-182.43997
15,-187.6002
16,-171.6176
17,-173.11166
18,-183.96252
19,-162.2357
20,-138.0571
21,-127.55774
22,-120.41425
23,-105.64597
24,-102.63556
25,-117.36521
26,-151.38553
27,-205.59769
28,-186.9836
29,-154.86833
30,-168.74199
31,-195.31702
32,-168.69904
33,-160.64528
34,-166.595
35,-182.53627
36,-238.19351
37,-268.4863
38,-242.08533
39,-208.0114
40,-167.08827
41,-136.18669
42,-140.1845
43,-130.26181
44,-107.3313
45,-110.615875
46,-134.62906
47,-190.39867
48,-233.61217
49,-184.17567
50,-187.89961
51,-181.08186
52,-164.16476
53,-166.1603
54,-140.14232
55,-120.858955
56,-130.0107
57,-150.2978
58,-178.51065
59,-226.66827
60,-246.6242
61,-215.94577
62,-214.93346
63,-214.37433
64,-228.48257
65,-259.62558
66,-181.06879
67,-149.96394
68,-173.38892
69,-196.4037
70,-223.05002
71,-287.86652
72,-315.79193
73,-236.61978
74,-210.17941
75,-235.25665
76,-245.45969
77,-280.05777
78,-400.03125
79,-241.00797
80,-166.55385
81,-162.86147
82,-168.13707
83,-161.58769
84,-169.20963
85,-187.19208
86,-195.34573
87,-194.7699
88,-205.59082
89,-216.68791
90,-233.69308
91,-244.7232
92,-241.71179
93,-240.679
94,-226.61162
95,-209.52571
96,-213.39925
97,-226.58232
98,-248.11966
99,-321.1126
100,-337.1774
101,-222.34839
102,-199.85748
103,-221.13281
104,-238.9528
105,-248.90231
106,-275.50443
107,-312.71304
108,-347.72958
109,-380.30545
110,-386.92758
111,-406.8198
112,-453.22565
113,-444.475
114,-387.5994
115,-364.29428
116,-362.7473
117,-376.30475
118,-381.94006
119,-382.1722
120,-293.04752
121,-248.73064
122,-273.06277
123,-323.8972
124,-326.16284
125,-314.89618
126,-311.2463
127,-322.63745
128,-348.65723
129,-380.60022
130,-379.8118
131,-374.09323
132,-378.34158
133,-394.73407
134,-405.8559
135,-403.04077
136,-406.5484
137,-438.59973
138,11.649541
139,18.42831
140,16.21932
141,16.381733
142,29.930527
143,46.42746
144,50.76365
145,71.21442
146,101.501366
147,92.812004
148,65.579155
149,45.34699
150,27.48883
151,15.532323
152,21.577532
153,56.73803
154,89.21828
155,95.26362
156,79.00473
157,77.121506
158,86.08018
159,94.08583
160,105.60604
161,107.987045
162,110.615906
163,92.78825
164,53.828163
165,-9.976219
166,20.427181
167,72.67885
168,97.02508
169,83.9727
170,94.83798
171,97.52174
172,104.52409
173,117.31566
174,108.430466
175,106.10245
176,102.70674
177,101.57087
178,103.541046
179,117.778046
180,121.25655
181,113.772964
182,118.94348
183,118.252304
184,123.77225
185,124.07201
186,89.20591
187,66.90071
188,67.882
189,58.793602
190,60.412235
191,94.30336
192,119.54039
193,119.12764
194,106.95491
195,96.70769
196,96.38818
197,100.02666
198,107.74515
199,121.25722
200,130.85883
201,131.28703
202,126.93906
203,112.9775
204,122.791534
205,132.2474
206,135.12433
207,137.87753
208,145.52109
209,135.78525
210,117.06325
211,123.35593
212,123.51263
213,116.58789
214,82.54047
215,49.640594
216,21.73171
217,56.422634
218,75.68778
219,74.554214
220,76.1193
221,98.569435
222,121.64494
223,123.10857
224,122.57363
225,122.66576
226,125.13037
227,120.71359
228,101.43294
229,98.637535
230,118.87158
231,120.31215
232,103.947586
233,64.24948
234,26.32344
235,2.9991236
236,-4.0732555
237,-13.550128
238,26.95746
239,47.11091
240,51.096252
241,63.11153
242,100.29621
243,126.0468
244,114.719376
245,101.13617
246,111.7889
247,114.76192
248,123.50177
249,118.35623
250,86.55974
251,86.4253
252,116.51886
253,126.01552
254,127.14226
255,120.48251
256,113.16449
257,107.8974
258,107.9229
259,106.100945
260,103.20926
261,93.48389
262,89.02374
263,91.82909
264,98.487
265,100.70131
266,96.75295
267,96.78687
268,98.06995
269,97.840744
270,94.78873
271,75.646164
272,58.673847
273,60.48932
274,57.928253
275,45.957344
276,11.444885
277,17.341896
278,15.085565
279,15.633144
280,11.072895
281,-10.020626
282,-21.663403
283,-37.899544
284,-55.01157
285,-66.0626
286,-70.44401
287,-79.825264
288,-88.663284
289,-89.56616
290,-77.55036
291,-54.36754
292,-55.102512
293,-69.84159
294,-79.454216
295,-83.77624
296,-80.46069
297,-74.14375
298,-83.79202
299,-96.4821
300,-82.9033
301,-48.13311
302,-32.383476
303,-40.368504
304,-17.675247
305,-21.749672
306,-48.555874
307,-66.096466
308,-68.99226
309,-65.89317
310,-52.239838
311,-34.65274
312,-17.75807
313,-8.788645
314,-10.100319
315,-8.71105
316,-24.055984
317,-37.285744
318,-61.457626
319,-88.32495
320,-98.6237
321,-85.50989
322,-54.839592
323,-33.141388
324,-41.868095
325,-56.838486
326,-53.738144
