,0
0,-513.2515
1,-517.64374
2,-518.19366
3,-486.34875
4,-376.8777
5,-281.54288
6,-223.32283
7,-180.33244
8,-169.2688
9,-193.07895
10,-201.43031
11,-200.64253
12,-181.72755
13,-164.99016
14,-162.01605
15,-154.89624
16,-133.55031
17,-124.48346
18,-128.04233
19,-93.683174
20,-90.83439
21,-103.895256
22,-121.7319
23,-169.2105
24,-222.34438
25,-238.76964
26,-187.83542
27,-138.5664
28,-128.57423
29,-173.37662
30,-296.28937
31,-236.2744
32,-175.88463
33,-163.00432
34,-168.77223
35,-178.85663
36,-174.11942
37,-163.35718
38,-177.29419
39,-199.55728
40,-191.52814
41,-187.9961
42,-179.16875
43,-139.69772
44,-130.33018
45,-186.55263
46,-336.38666
47,-379.79135
48,-268.55487
49,-175.04393
50,-108.051994
51,-116.29191
52,-134.88783
53,-137.48386
54,-137.22128
55,-150.63794
56,-193.7947
57,-269.71246
58,-260.12616
59,-250.2753
60,-251.82872
61,-277.92056
62,-305.5823
63,-311.97928
64,-323.34723
65,-339.8358
66,-350.56238
67,-363.19437
68,-377.7799
69,53.431725
70,47.984715
71,45.254765
72,71.34657
73,136.1185
74,186.39252
75,193.48566
76,181.25438
77,146.21564
78,107.671524
79,113.54396
80,142.16539
81,174.158
82,177.8509
83,161.35744
84,125.786865
85,97.08971
86,74.16469
87,64.02436
88,122.75887
89,177.45447
90,203.02008
91,215.71579
92,219.97025
93,197.8099
94,182.68933
95,197.75009
96,188.47101
97,171.81555
98,154.81963
99,116.25179
100,72.191124
101,72.24248
102,105.86299
103,164.11241
104,209.62048
105,240.5021
106,226.32138
107,187.66476
108,147.51285
109,166.24164
110,199.38693
111,207.02548
112,208.21906
113,213.61887
114,204.69276
115,168.25163
116,64.67473
117,80.264435
118,103.47049
119,128.05959
120,150.66348
121,161.03508
122,154.04794
123,158.9288
124,173.6815
125,179.86938
126,164.47202
127,182.33685
128,184.48209
129,178.11945
130,155.62436
131,131.86346
132,117.82683
133,103.74332
134,90.91879
135,83.37091
136,76.39812
137,75.09332
138,35.198246
139,32.12606
140,29.031286
141,36.372772
142,52.972572
143,32.5157
144,15.2869
145,1.0245991
146,-4.6890354
147,-15.529728
148,-23.289833
149,-25.616077
150,-43.88937
151,-58.811047
152,-61.62277
153,-52.088444
154,-31.086603
155,-21.604023
156,-31.069738
157,-37.85366
158,-38.76719
159,-33.406654
160,-32.06039
161,-20.337986
162,-16.609297
163,-13.9268875
164,-26.312805
165,-51.98434
166,-52.8205
167,-32.838448
168,2.5084474
169,-30.5481
170,-45.160492
171,-24.322536
172,-1.9687728
173,1.3055086
174,-4.846344
175,1.075459
176,4.029524
177,-20.032784
178,-14.122931
179,-12.696546
180,-18.94428
181,-33.897495
182,-26.973915
183,-6.4666824
184,27.96542
185,-26.633408
186,-58.89745
187,-86.237755
188,-78.62221
189,-50.388855
190,-45.127182
191,-58.892265
192,-61.479095
193,-51.86141
194,-32.908043
195,9.349215
196,11.360346
197,-5.5003843
198,-3.968479
199,2.5071788
200,2.5506961
201,-2.4158201
202,-9.120396
203,-12.0552435
204,-11.070459
205,-13.800038
206,-7.86537
207,18.886871
208,18.629166
209,18.217129
210,19.526928
211,40.33487
212,34.257103
213,46.07325
214,60.47683
215,72.6861
216,77.930405
217,70.89111
218,55.57647
219,29.246487
220,29.071184
221,55.007057
222,74.254616
223,83.41556
224,101.05971
225,110.544365
226,99.711655
227,80.82244
228,61.18744
229,46.14149
230,35.863743
231,39.291153
232,47.09089
233,60.57539
234,80.46031
235,97.51762
236,108.26772
237,99.301956
238,56.218952
239,67.84784
240,79.79498
241,59.825634
242,36.83732
243,32.30677
244,49.285923
245,56.70368
246,48.683487
247,57.005833
248,51.2138
249,44.927177
250,42.866123
251,48.39839
252,47.750626
253,28.422453
254,27.328125
255,30.46634
256,54.82936
257,78.60556
258,98.92645
259,114.71446
260,115.52607
261,112.240585
262,104.49983
263,92.00276
264,64.377594
265,51.634785
266,45.552223
267,45.847187
268,46.15342
269,41.703285
270,37.7389
271,33.550438
272,29.6935
273,28.93375
274,26.749435
275,26.05476
276,11.931976
277,12.849821
278,12.3931465
279,0.9222323
280,-17.181305
281,-9.437521
282,-5.3515253
283,-16.275597
284,-31.568123
285,-28.230127
286,-17.497465
287,-3.9965053
288,6.1471014
289,14.886856
290,16.482466
291,4.6945276
292,-26.241976
293,-40.43338
294,-38.426765
295,-32.081596
296,-21.895906
297,-17.89522
298,-11.840042
299,6.334385
300,35.075054
301,41.64517
302,30.48502
303,24.85306
304,19.757027
305,20.756355
306,21.17826
307,-31.409184
308,-35.77576
309,-24.992676
310,-31.316257
311,-34.594063
312,-25.409702
313,-32.39955
314,-36.08056
315,-32.759087
316,-22.794617
317,-23.739529
318,-32.84751
319,-46.768898
320,-45.75721
321,-26.932
322,6.3873444
323,-5.687359
324,-24.157852
325,-7.816848
326,0.50224686
327,15.218425
328,27.249008
329,33.459454
330,36.272682
331,43.607285
332,50.069946
333,28.67869
334,23.694218
335,30.229708
336,27.24065
337,33.10642
338,37.75592
339,31.055824
340,26.280792
341,22.499426
342,18.81404
343,17.362701
344,20.373726
345,12.391172
346,12.511536
347,10.868564
348,0.13652375
349,-0.17004268
350,3.2679253
351,3.157476
352,7.124957
353,22.036963
354,36.72396
355,28.979206
356,16.899578
357,8.049584
358,3.0132787
359,5.8869047
360,35.11876
361,62.359642
362,64.56889
363,55.110092
364,25.52294
365,-5.299221
366,-18.087553
367,-15.450146
368,-11.401582
369,0.84884596
370,6.59488
371,-13.435801
372,-25.353762
373,-16.581142
374,-3.411982
375,11.468348
376,37.73728
377,49.04049
378,47.882977
379,13.45586
380,-19.826761
381,-42.55903
382,-31.043953
383,-0.7345561
384,16.681486
385,8.116208
386,-13.472528
387,-18.007809
388,-7.04353
389,-0.044094145
390,2.0906048
391,5.403184
392,12.548225
393,17.498377
394,10.893423
395,23.139072
396,19.588459
397,-5.4326234
398,-8.868963
399,-9.86694
400,-9.653492
401,-1.8188463
402,21.35009
403,18.027584
404,18.198029
405,26.013668
406,38.19838
407,51.0841
408,53.062508
409,52.13881
410,51.581413
411,45.88884
412,37.939774
413,38.468773
414,13.714964
415,12.695655
416,11.120323
417,4.7967215
418,7.7193394
419,-6.299365
420,-16.552418
421,-15.895155
422,-19.08105
423,-14.810673
424,-10.036255
425,-7.559298
426,-13.227184
427,-26.105427
428,-30.785496
429,-36.380085
430,-39.737816
431,-38.759293
432,-33.556896
433,-39.721912
434,-40.726315
435,-34.34074
436,-24.508339
437,-16.066645
438,-13.720302
439,-14.908232
440,-20.897106
441,-27.217644
442,-26.846378
443,-16.998936
444,0.948921
445,-18.13343
446,-19.658848
447,-15.763336
448,-13.300093
449,-3.0073953
450,8.512895
451,4.240632
452,7.395067
453,17.518236
454,10.315707
455,12.195845
456,13.775549
457,5.937597
458,5.476815
459,3.7968938
460,2.932891
461,0.29822686
462,-16.06758
463,-20.63338
464,-19.026482
465,-19.567749
466,-23.617195
467,-22.661367
468,-21.2581
469,-20.498089
470,-20.292542
471,-9.538802
472,-4.6001687
473,3.0461516
474,8.771542
475,4.0434513
476,0.6530762
477,-3.340318
478,-4.7783422
479,-6.159004
480,-11.515556
481,-16.942282
482,-18.82893
483,12.104994
484,11.049847
485,9.856518
486,-1.8291886
487,-14.153989
488,-16.881996
489,-8.488964
490,-6.1434355
491,-11.409735
492,-12.685091
493,-5.408043
494,-1.2943451
495,-5.050357
496,-2.8646085
497,-14.98099
498,-22.863373
499,-24.154501
500,-20.635212
501,-13.433486
502,-15.361782
503,-17.549683
504,-9.2665825
505,-6.624301
506,2.1157901
507,10.806435
508,12.777554
509,1.9990615
510,-5.9029517
511,-14.224348
512,-20.829313
513,-21.582493
514,7.840331
515,6.814903
516,2.1019192
517,7.2511687
518,8.085285
519,4.842145
520,5.4083223
521,9.645126
522,16.818214
523,5.7873616
524,-13.128279
525,-18.038261
526,-22.328894
527,-23.939495
528,-23.588083
529,-17.871475
530,-2.624466
531,-8.770954
532,-3.123505
533,1.7741257
534,-5.7402267
535,-17.292397
536,-20.375652
537,-19.404354
538,-22.556274
539,-25.414766
540,-8.48719
541,-1.1052428
542,2.319993
543,7.173269
544,11.948212
545,13.039352
546,11.844806
547,8.529749
548,4.170452
549,-0.04457742
550,-1.4158087
551,-1.8287643
552,8.77681
553,8.263339
554,8.62111
555,1.2830753
556,-16.390373
557,-27.981617
558,-38.873802
559,-40.242386
560,-35.729507
561,-26.531372
562,-28.16789
563,-45.722748
564,-52.373024
565,-53.0306
566,-39.408073
567,-31.023102
568,-36.072994
569,-42.172558
570,-33.779602
571,-29.5219
572,-34.006172
573,-40.334198
574,-36.234493
575,-29.984327
576,-21.638973
577,-20.770954
578,-23.603775
579,-26.681402
580,-25.66288
581,-16.826773
582,-4.234613
583,-4.1852136
584,-9.358897
585,-14.910723
586,-21.513538
587,-25.444824
588,-26.095692
589,-20.452965
590,-24.449057
591,-29.358109
592,-33.53682
593,-30.697477
594,-25.633009
595,-13.227371
596,-8.038011
597,-5.108796
598,-3.3840175
599,10.488747
600,1.1817019
601,-7.776281
602,-12.875229
603,-18.953613
604,-22.384565
605,-21.702251
606,-18.721317
607,-16.89581
608,-7.9126215
609,7.2581577
610,-1.8029358
611,-8.1481695
612,-10.885063
613,-10.626724
614,-10.366243
615,-14.086652
616,-13.178196
617,-12.645782
618,-16.4795
619,-13.663548
620,-9.373295
621,6.7817993
622,6.560789
623,8.205082
624,7.768937
625,-4.096304
