,0
0,-437.18774
1,-376.2239
2,-366.3318
3,-379.65262
4,-373.6828
5,-331.25577
6,-260.46252
7,-180.62177
8,-122.90122
9,-118.65146
10,-120.261246
11,-130.26537
12,-146.29408
13,-156.84796
14,-156.10931
15,-157.03625
16,-160.53917
17,-154.43378
18,-125.6134
19,-109.284645
20,-131.2073
21,-176.19965
22,-249.20297
23,-261.15527
24,-247.62016
25,-208.11511
26,-154.07198
27,-131.31015
28,-112.43486
29,-121.0923
30,-166.23325
31,-203.39687
32,-216.42392
33,-239.19609
34,-223.87927
35,-160.56798
36,-123.05404
37,-142.14838
38,-164.17683
39,-150.95605
40,-158.97734
41,-167.90178
42,-156.99529
43,-145.9627
44,-160.03966
45,-191.8324
46,-212.27696
47,-225.58665
48,-235.00044
49,-192.99158
50,-156.81789
51,-160.11041
52,-192.98956
53,-282.14246
54,-412.70624
55,-474.3446
56,-488.6383
57,-261.59714
58,-176.90178
59,-166.48004
60,-191.49619
61,-231.95001
62,-243.51472
63,-237.41278
64,-255.36179
65,-284.19913
66,-375.333
67,-490.0947
68,-472.22684
69,-285.8001
70,-213.68858
71,-210.22733
72,-208.77382
73,-222.49252
74,-257.35312
75,-285.7821
76,-303.00867
77,-319.74393
78,-343.72687
79,-358.8715
80,-378.0978
81,-448.9314
82,-477.7999
83,-443.06567
84,-424.73587
85,-421.68335
86,-419.32468
87,-414.45752
88,-416.28098
89,-421.0351
90,-419.26727
91,-421.8769
92,-418.54752
93,-425.7684
94,-483.68692
95,-504.38733
96,-502.2521
97,-501.55582
98,-480.9998
99,-443.91812
100,-428.19742
101,-435.35645
102,-457.51263
103,-267.67227
104,-195.17268
105,-209.99931
106,-267.58447
107,-249.62775
108,-212.52104
109,-219.66565
110,-203.41583
111,-123.55183
112,-89.5484
113,-91.66665
114,-106.766045
115,-152.85312
116,-232.1239
117,-254.77924
118,-220.60591
119,-189.77888
120,-192.30965
121,-212.35583
122,-261.8448
123,-188.50168
124,-140.0171
125,-129.4784
126,-134.96648
127,-122.213135
128,-120.748405
129,-158.43413
130,-159.68608
131,-149.5723
132,-151.49744
133,-158.27249
134,-191.85947
135,-220.08997
136,-266.7489
137,-287.75974
138,-271.20056
139,-169.93797
140,-142.06168
141,-171.41661
142,-162.9842
143,-154.86368
144,-168.9832
145,-140.89465
146,-129.09402
147,-149.36415
148,-147.54007
149,-144.07492
150,-141.40639
151,-145.16576
152,-193.56831
153,-238.24655
154,-131.46072
155,-111.80615
156,-159.18672
157,-162.4928
158,-172.68222
159,-195.59793
160,-225.58398
161,-269.87955
162,-291.84473
163,-309.63123
164,-321.08755
165,-317.60193
166,-333.2759
167,-360.93933
168,-378.28055
169,-388.4831
170,-400.0444
