,0
0,-571.9886
1,-575.16644
2,-469.06717
3,-276.1378
4,-212.85857
5,-205.66704
6,-224.85054
7,-273.0276
8,-330.1071
9,-321.0602
10,-302.32724
11,-329.6703
12,-378.36176
13,-315.26645
14,-234.72684
15,-180.46207
16,-184.8521
17,-238.16719
18,-235.44002
19,-217.20724
20,-253.13145
21,-290.6659
22,-265.7187
23,-232.02957
24,-224.44841
25,-246.31712
26,-264.6291
27,-290.75177
28,-313.03455
29,-214.13327
30,-157.08414
31,-174.72978
32,-224.92921
33,-212.34799
34,-221.31581
35,-252.00946
36,-298.8575
37,-333.47342
38,-329.16095
39,-306.96365
40,-243.92616
41,-221.47275
42,-218.93358
43,-153.85727
44,-154.86829
45,-267.2981
46,-357.46298
47,-239.74672
48,-201.46367
49,-180.96307
50,-221.61841
51,-343.86792
52,-315.47787
53,-223.63937
54,-179.94102
55,-188.32648
56,-225.19629
57,-211.7146
58,-132.53824
59,-100.22606
60,-105.00739
61,-101.25329
62,-145.83527
63,-277.3865
64,-458.89648
65,-453.82047
66,-319.07562
67,-201.9937
68,-120.62913
69,-83.86455
70,-74.85686
71,-72.13736
72,-57.363056
73,-60.297153
74,-76.89241
75,-114.78927
76,-168.28403
77,-258.3313
78,-396.66135
79,-460.5579
80,-493.7397
81,-503.1557
82,-536.5709
83,-568.4693
84,-577.565
85,-576.1112
86,12.052383
87,7.6315517
88,36.32724
89,67.230606
90,62.98187
91,52.866707
92,47.292137
93,52.278862
94,61.921173
95,102.99104
96,127.2148
97,108.23122
98,48.748413
99,61.314796
100,65.66188
101,46.53319
102,7.814536
103,-40.80806
104,-3.5987127
105,47.870735
106,53.316895
107,29.477009
108,53.773483
109,66.59692
110,43.086517
111,-4.906865
112,-33.975452
113,-45.003357
114,2.664091
115,78.58807
116,77.04431
117,44.28593
118,14.403944
119,35.152294
120,42.976006
121,46.797653
122,55.86146
123,64.9365
124,100.50766
125,110.19379
126,111.22092
127,89.60079
128,48.06121
129,86.33127
130,109.05791
131,105.641815
132,74.93781
133,75.245995
134,85.98591
135,113.2114
136,111.43227
137,56.042587
138,43.681023
139,82.42987
140,102.791626
141,107.92886
142,91.39448
143,78.771805
144,102.10536
145,98.13618
146,85.28301
147,109.78571
148,123.09826
149,119.90564
150,42.56993
151,12.979556
152,70.0594
153,81.31392
154,73.24132
155,79.12984
156,75.28082
157,59.46714
158,62.395596
159,68.317
160,76.472694
161,83.01964
162,84.721794
163,89.53038
164,102.09686
165,100.853806
166,76.00029
167,59.80359
168,42.229424
169,16.782677
170,4.2488413
171,6.30127
172,11.803054
173,7.5982046
174,-0.5304531
175,-50.21212
176,-68.196724
177,-76.910484
178,-76.25006
179,-61.379154
180,-57.16519
181,-21.740349
182,-2.315363
183,6.7544956
184,-12.634372
185,-28.601114
186,-65.95442
187,-105.31746
188,-119.17172
189,-110.77046
190,-97.462296
191,-109.524
192,-103.101585
193,-103.332085
194,-89.41786
195,-68.48181
196,-49.905075
197,-48.70476
198,-71.82844
199,-85.90262
200,-57.41745
201,-93.41459
202,-131.02853
203,-146.93503
204,-136.25645
205,-135.90741
206,-128.73999
207,-117.83751
208,-101.083954
209,-66.001144
210,-43.312237
211,-51.98708
212,-100.73108
213,-133.72327
214,-140.50397
215,-127.56955
216,-112.416016
217,-68.84546
218,-17.395061
219,-67.499985
220,-85.099625
221,-69.93878
222,-40.89835
223,-8.6981945
224,-39.020966
225,-72.02246
226,-114.76838
227,-128.69916
228,-120.878174
229,-136.9549
230,-174.05807
231,-190.71118
232,-193.69978
233,-171.50809
234,-129.44008
235,-64.63037
236,-1.921257
237,-26.860111
238,-52.011368
239,-110.44775
240,-160.66592
241,-186.34488
242,-188.44937
243,-184.65779
244,-185.61229
245,-180.99516
246,-159.59073
247,-126.37515
248,-92.73883
249,-54.16349
250,14.301592
251,41.65772
252,34.727615
253,23.385185
254,24.681131
255,16.060299
256,4.243614
257,6.285295
258,11.400322
259,7.5429
260,63.56334
261,87.34657
262,98.43233
263,101.65927
264,98.16465
265,83.69516
266,56.33189
267,56.223488
268,55.43033
269,52.55998
270,41.859467
271,44.522614
272,61.320713
273,75.8705
274,88.65816
275,101.82556
276,78.26755
277,57.882687
278,43.231956
279,40.249687
280,42.03473
281,41.081535
282,58.89272
283,75.26967
284,56.352547
285,41.863644
286,41.410286
287,25.129269
288,25.651525
289,14.746605
290,10.432911
291,5.241492
292,11.255692
293,27.390533
294,36.314976
295,47.79425
296,38.329445
297,28.02292
298,6.0277996
299,4.4145155
300,14.140718
301,30.189777
302,36.636986
303,31.805225
304,35.927734
305,43.494324
306,43.903152
307,37.451378
308,26.761211
309,44.193703
310,35.83831
311,23.420368
312,13.417515
313,11.267881
314,9.865744
315,11.016138
316,6.205902
317,17.180311
318,35.048542
319,47.450493
320,52.508835
321,44.80123
322,45.20131
323,33.293068
324,24.305443
325,30.166733
326,30.95317
327,32.947655
328,41.889244
329,48.898895
330,48.75557
331,47.04637
332,51.434517
333,68.09981
334,86.62523
335,90.803406
336,69.43381
337,51.39119
338,50.231388
339,41.922478
340,29.796865
341,15.307159
342,4.2349143
343,6.258748
344,10.862557
345,7.4660316
346,-27.603243
347,-44.241264
348,-52.565544
349,-49.069984
350,-45.05976
351,-38.77985
352,-11.845964
353,-4.3237534
354,-4.44108
355,-5.6961784
356,-8.797036
357,-26.770966
358,-48.358177
359,-66.175995
360,-74.411026
361,-82.056656
362,-86.51011
363,-66.96152
364,-58.963657
365,-54.462166
366,-55.08455
367,-44.995502
368,-51.274307
369,-57.297775
370,-68.37253
371,-70.666046
372,-53.423462
373,-63.083252
374,-78.432106
