,0
0,-501.87463
1,-490.06702
2,-467.0156
3,-244.29272
4,-91.185745
5,-36.021572
6,-49.73894
7,-75.33322
8,-94.59622
9,-138.24777
10,-148.32182
11,-148.47879
12,-148.77428
13,-132.14886
14,-111.140854
15,-82.004486
16,-97.04679
17,-119.86172
18,-128.34575
19,-177.08138
20,-176.97453
21,-182.68826
22,-153.438
23,-121.27563
24,-116.855644
25,-130.48938
26,-171.64249
27,-242.56123
28,-281.03415
29,-199.23769
30,-166.39647
31,-190.59816
32,-264.47604
33,-319.95007
34,-290.79868
35,-286.39383
36,-234.6639
37,-212.80742
38,-214.10808
39,-247.67549
40,-220.36562
41,-143.13394
42,-110.15747
43,-120.65221
44,-142.16551
45,-201.6771
46,-322.40344
47,-504.0032
48,-398.95642
49,-318.24866
50,-350.3164
51,-391.01987
52,-277.47836
53,-256.67245
54,-287.99445
55,-304.0338
56,-311.33914
57,-319.3862
58,-306.97156
59,-341.984
60,-432.99313
61,-461.33392
62,-435.32874
63,-450.8056
64,-470.94174
65,-485.9726
66,-504.79163
67,-516.4111
68,-523.4339
69,-525.59393
70,57.522392
71,63.754856
72,41.604145
73,106.957275
74,153.07358
75,169.61761
76,153.97737
77,113.10403
78,64.40958
79,28.280151
80,39.69912
81,51.70784
82,73.49432
83,103.74823
84,111.98503
85,134.19724
86,131.37778
87,100.73761
88,86.64144
89,48.241066
90,46.279076
91,62.02601
92,101.915955
93,124.31747
94,125.30794
95,133.1496
96,151.32999
97,137.22804
98,124.49537
99,155.93642
100,155.9778
101,155.4957
102,157.71323
103,116.26944
104,92.7952
105,94.332535
106,139.79932
107,162.12924
108,173.70016
109,158.28806
110,154.95807
111,165.73056
112,163.8147
113,169.83638
114,187.6571
115,188.62698
116,162.04971
117,57.502632
118,93.10509
119,102.63806
120,99.20121
121,55.76613
122,86.655334
123,107.228745
124,99.05437
125,83.51457
126,83.917564
127,84.36015
128,123.22186
129,148.637
130,125.948074
131,105.56874
132,123.35887
133,111.85318
134,93.7311
135,80.80168
136,59.747353
137,44.099083
138,34.2809
139,31.433521
140,43.412823
141,47.331116
142,40.523018
143,-23.45804
144,-72.472404
145,-88.88327
146,-80.39801
147,-61.618847
148,-44.790874
149,-35.956406
150,-26.380264
151,-27.39064
152,-44.976234
153,-74.308426
154,-79.69447
155,-68.83638
156,-55.020073
157,-32.80733
158,-6.115136
159,12.108149
160,-4.0871477
161,-30.267193
162,-57.563004
163,-71.82874
164,-79.63363
165,-77.55269
166,-51.682266
167,-17.531506
168,-6.466071
169,-56.01926
170,-90.203156
171,-82.52449
172,-35.01351
173,5.593958
174,-18.34734
175,-12.104677
176,-26.370182
177,-38.98172
178,-34.34041
179,-24.85157
180,-43.5885
181,-60.792023
182,-70.21592
183,-67.81177
184,-52.408585
185,-31.586636
186,-0.7140552
187,45.228493
188,15.521708
189,-5.176603
190,-2.6377437
191,-41.40844
192,-57.34954
193,-30.379208
194,-6.054759
195,-10.353985
196,-12.115
197,-22.157679
198,-29.014511
199,-0.50600237
200,59.925137
201,76.17891
202,75.30832
203,70.925705
204,66.46118
205,65.534805
206,55.147682
207,41.556374
208,32.044056
209,29.765078
210,31.413826
211,35.651665
212,54.044052
213,62.228775
214,48.805138
215,38.28099
216,37.723007
217,61.97764
218,78.69874
219,73.6253
220,73.618164
221,89.79764
222,87.97722
223,73.277916
224,70.25477
225,65.711426
226,66.09107
227,76.497505
228,80.531235
229,87.26842
230,96.391235
231,100.83025
232,87.31349
233,76.467255
234,58.972748
235,38.516953
236,30.567867
237,34.8643
238,39.662
239,33.162548
240,39.84375
241,54.472202
242,64.515114
243,52.05299
244,52.05313
245,49.96675
246,22.676826
247,3.305074
248,-1.8486259
249,7.9375696
250,4.2572384
251,3.1627402
252,6.499407
253,-3.8127682
254,-3.674241
255,-2.4027536
256,-2.2010937
257,31.964643
258,-3.5105705
259,0.5986172
260,-1.1673002
261,49.614727
262,77.904366
263,95.321945
264,104.423004
265,105.57982
266,105.67598
267,101.13242
268,66.26762
269,36.66368
270,28.876345
271,49.44821
272,43.85183
273,44.75497
274,49.137592
275,51.76904
276,48.75683
277,37.91022
278,28.844772
279,27.353512
280,19.220016
281,15.407669
282,-3.097987
283,-5.905509
284,-30.591095
285,-48.635025
286,-55.503483
287,-50.077953
288,-43.39672
289,-44.385796
290,-39.830154
291,-31.984608
292,-25.039078
293,-3.922093
294,-5.055522
295,-17.536823
296,-18.200916
297,-14.716328
298,-28.678295
299,-39.866787
300,-22.79189
301,-3.4182148
302,-10.037651
303,-20.532999
304,-29.437134
305,-26.150667
306,-18.493147
307,-2.7073114
308,18.951797
309,24.531727
310,22.255772
311,29.415104
312,39.678566
313,-0.65738213
314,-21.609856
315,-26.543436
316,-37.268654
317,-42.427353
318,-41.095737
319,-37.651695
320,-39.82869
321,-64.02782
322,-69.85365
323,-69.592865
324,-56.89859
325,-37.899185
326,-11.550479
327,22.38673
328,-9.123751
329,-25.77824
330,-18.596489
331,11.042237
332,2.3687344
333,8.209136
334,25.438982
335,27.397068
336,34.07955
337,47.69047
338,50.11772
339,53.786816
340,32.74842
341,32.151154
342,25.641626
343,31.19064
344,36.87242
345,41.162228
346,41.48982
347,33.730232
348,25.288782
349,24.624403
350,10.716637
351,13.073126
352,25.44328
353,7.0150013
354,0.03573084
355,-4.732883
356,-2.3232121
357,13.225803
358,43.210064
359,59.588455
360,57.978592
361,53.210262
362,40.170464
363,22.731686
364,12.419939
365,0.44515812
366,2.681166
367,15.653794
368,29.110218
369,44.31301
370,37.452713
371,15.817657
372,-5.691392
373,-15.963877
374,-9.501825
375,9.578027
376,14.46404
377,28.561659
378,30.258919
379,3.2535162
380,-15.54064
381,-33.690056
382,-43.761696
383,2.1177382
384,10.105663
385,14.775953
386,4.630519
387,-13.559872
388,-16.006289
389,-4.0380983
390,-4.698789
391,5.831304
392,20.391983
393,24.247313
394,15.876665
395,4.049576
396,0.8602675
397,17.234253
398,15.760791
399,15.4686775
400,11.371944
401,-3.0302603
402,0.24610868
403,-2.6144886
404,-4.919407
405,-7.0586796
406,-6.3808002
407,-0.7703882
408,8.704172
409,15.126682
410,34.774235
411,30.758236
412,28.242752
413,23.083107
414,24.812866
415,31.649893
416,33.73845
417,29.408894
418,21.934433
419,21.97276
420,7.6826906
421,8.0888815
422,13.489027
423,-30.38432
424,-45.962563
425,-56.47235
426,-57.666904
427,-45.86708
428,-40.970356
429,-26.567951
430,-29.993305
431,-32.72255
432,-32.439682
433,-43.753128
434,-58.158154
435,-71.06862
436,-70.27916
437,-72.201866
438,-71.0404
439,-51.03762
440,-49.774147
441,-47.180653
442,-47.07576
443,-56.09951
444,-59.83648
445,-43.38912
446,-26.564531
447,-22.971817
448,-33.262505
449,-33.620483
450,-27.709133
451,-24.659286
452,-18.982845
453,0.73529065
454,-0.5616666
455,-4.1795063
456,3.5115652
457,10.6097145
458,16.106785
459,26.832867
460,5.658013
461,3.1369805
462,5.116976
463,10.451983
464,10.743375
465,1.0358658
466,7.096031
467,14.820896
468,-6.681212
469,-15.997515
470,-8.913383
471,38.484715
472,37.049473
473,20.02618
474,-3.4389744
475,-4.986946
476,-6.3973684
477,-11.143306
478,-8.76087
479,-4.317626
480,15.99477
481,22.09084
482,15.198816
483,10.884228
484,15.787842
485,21.354355
486,25.751406
487,25.112926
488,19.15517
489,19.664425
490,6.278548
491,3.8667793
492,2.0524416
493,-19.015324
494,-11.775089
495,-10.970693
496,-4.739662
497,12.052656
498,25.7653
499,46.06919
500,43.744026
501,26.33805
502,12.653835
503,12.37253
504,12.575785
505,14.920675
506,18.52653
507,25.217281
508,26.516848
509,30.6992
510,36.32966
511,26.504757
512,8.763406
513,-0.5591585
514,-6.8296504
515,-6.9247737
516,-12.922524
517,-5.2839203
518,1.7891685
519,0.92576903
520,-0.6369827
521,-5.1009874
522,-0.28514987
523,10.711386
524,8.804049
525,3.2370987
526,11.475145
527,18.452862
528,15.608702
529,-0.90796494
530,-7.4482603
531,-3.7298415
532,-6.602103
533,-6.6099825
534,-7.767268
535,-16.779278
536,-12.4828415
537,13.596922
538,20.191906
539,18.35782
540,15.913307
541,18.728596
542,12.724613
543,1.6880817
544,-3.0113716
545,3.9322011
546,6.824569
547,-2.691991
548,-19.415813
549,-18.065004
550,-10.465584
551,7.235225
552,0.65471846
553,-0.67725384
554,4.625517
555,8.72698
556,18.136719
557,20.908
558,17.089674
559,17.799934
560,6.868474
561,9.859189
562,15.816899
563,-24.614986
564,-22.09921
565,-19.886166
566,-21.711452
567,-17.762766
568,-25.781368
569,-25.013428
570,-25.353209
571,-23.251482
572,-11.338488
573,-9.3491955
574,-22.806286
575,-29.657846
576,-31.027088
577,-25.245964
578,-24.46177
579,-27.486752
580,-35.189606
581,-29.219566
582,-20.97306
583,-11.479349
584,-6.2401686
585,-9.094758
586,-21.917679
587,-20.535023
588,-12.514079
589,-26.713621
590,-25.154747
591,-21.399933
592,-18.133228
593,-1.0831283
594,3.1566424
595,-4.526862
596,-14.44429
597,-23.40342
598,-25.509674
599,-21.147263
600,-16.606422
601,-17.733267
602,-18.49758
603,-16.26457
604,-13.002264
605,-8.421371
606,-3.1304512
607,12.855427
608,1.3864777
609,-8.932865
610,-6.927475
611,6.705212
612,1.0420709
613,-16.017948
614,-21.156376
615,-15.3750515
616,-8.778949
617,-0.2034361
618,-3.254337
619,-14.742523
620,-18.0629
621,-3.798503
622,-11.489117
623,-13.76811
624,-8.363438
625,-2.6549878
626,11.785994
627,16.92149
628,15.675774
629,16.342583
630,10.43289
631,9.65093
632,6.4969616
633,7.962052
634,5.899803
635,0.5945307
636,3.0897567
637,17.067017
638,21.662745
639,20.547573
640,13.23322
641,5.3328934
642,-1.8253956
643,-14.649696
644,-18.824678
645,-22.920185
646,-22.188654
647,-2.789389
648,7.4635897
649,14.931514
