,0
0,-557.86017
1,-533.32764
2,-525.015
3,-420.61713
4,-253.45479
5,-209.43727
6,-233.01054
7,-248.15712
8,-256.51862
9,-227.66724
10,-215.6604
11,-226.19638
12,-240.69757
13,-244.48058
14,-242.48065
15,-239.03752
16,-231.21075
17,-227.15085
18,-232.11002
19,-242.78874
20,-232.01651
21,-219.25674
22,-222.34302
23,-222.56421
24,-213.67941
25,-207.83691
26,-179.99573
27,-176.29378
28,-130.91846
29,-109.83106
30,-135.29396
31,-166.6337
32,-254.84776
33,-393.03656
34,-245.7808
35,-175.07112
36,-127.33489
37,-137.51497
38,-202.36926
39,-352.7086
40,-496.83798
41,-322.19495
42,-231.27975
43,-192.3082
44,-182.51248
45,-191.4152
46,-246.67772
47,-388.92636
48,-531.94507
49,-465.73615
50,-324.0348
51,-259.66248
52,-234.28828
53,-238.86263
54,-277.11746
55,-369.68686
56,-518.3512
57,-515.6944
58,-349.27017
59,-239.2831
60,-210.11533
61,-219.69807
62,-259.75232
63,-272.80402
64,-253.7377
65,-236.109
66,-216.42017
67,-225.12325
68,-235.6515
69,-254.68037
70,-284.95108
71,-321.66016
72,-367.20715
73,-405.10916
74,-448.41757
75,-484.02866
76,-507.20013
77,-517.59485
78,-519.1343
79,-527.0273
80,-528.9904
81,-529.26373
82,-535.44037
83,-538.0511
84,-534.7668
85,-539.5745
86,-540.6434
87,-540.00024
88,-475.80164
89,-407.7766
90,-426.93292
91,-494.90897
92,-507.4722
93,-496.94315
94,-462.8044
95,-433.51886
96,-428.56125
97,-421.44055
98,-402.0798
99,-385.27875
100,-433.81958
101,-530.63666
102,-535.1801
103,-536.444
104,-536.77765
105,-538.56696
106,-539.48615
107,-533.6758
108,-530.8334
109,-505.25342
110,-378.6385
111,-251.48845
112,-179.4176
113,-177.09958
114,-208.67984
115,-216.2505
116,-216.6571
117,-224.89438
118,-219.60437
119,-195.22336
120,-221.71364
121,-289.3264
122,-351.50772
123,-290.0012
124,-251.57071
125,-233.17006
126,-264.9112
127,-327.1946
128,-304.45526
129,-238.59221
130,-172.93393
131,-160.55096
132,-179.11855
133,-192.19118
134,-220.77109
135,-306.72888
136,-353.17752
137,-210.64604
138,-151.78001
139,-158.37994
140,-178.81694
141,-202.36983
142,-212.20601
143,-247.3989
144,-361.5321
145,-378.28607
146,-331.0062
147,-310.71838
148,-325.20877
149,-340.25
150,-333.6411
151,-297.6973
152,-289.99506
153,-331.98743
154,-347.17398
155,-350.84225
156,-365.64783
157,-388.70587
158,-408.1512
159,-423.95847
160,-435.80624
161,-426.80618
162,-440.71887
163,-466.86682
164,-488.2215
165,-517.6691
166,-535.4229
167,-537.8618
168,-539.9225
169,-540.5826
170,-540.3798
171,-537.4484
172,-536.1262
173,-538.0139
174,-541.5346
175,-539.45575
176,-536.4982
177,-538.14246
178,-540.0449
179,-537.352
180,-534.1955
181,-534.9041
182,-535.9861
183,-534.36884
184,-529.2623
185,-527.2511
186,-521.8823
187,-514.9886
188,-514.9323
189,-515.86646
190,-522.13
191,-517.2325
192,-515.5039
193,-528.5721
194,-530.54205
195,-530.70013
196,-524.0696
197,-517.8359
198,-500.82904
199,-501.29037
200,-490.4621
201,-408.89572
202,-352.5349
203,-280.44888
204,-225.90012
205,-223.21162
206,-260.49686
207,-264.90405
208,-302.04218
209,-355.50253
210,-338.66077
211,-259.73624
212,-194.25812
213,-174.89333
214,-182.18031
215,-220.51463
216,-328.88083
217,-341.84042
218,-288.43503
219,-261.24838
220,-247.87804
221,-240.2026
222,-250.88322
223,-267.2863
224,-291.31006
225,-297.35144
226,-268.32635
227,-211.73122
228,-215.95004
229,-264.02997
230,-295.70892
231,-355.997
232,-256.41922
233,-176.13179
234,-146.49135
235,-170.03404
236,-230.65189
237,-370.99194
238,-529.0181
239,-300.71564
240,-204.77884
241,-224.18265
242,-340.85468
243,-404.1599
244,-463.7412
245,43.8179
246,50.29605
247,45.444405
248,71.30952
249,119.30879
250,158.22601
251,195.84952
252,196.79774
253,173.62706
254,107.31878
255,54.19175
256,19.397251
257,-4.1219425
258,-10.285309
259,-12.547615
260,-10.489361
261,-11.367707
262,-2.3809154
263,13.995424
264,25.581186
265,24.279953
266,32.758682
267,36.871826
268,24.910593
269,31.815395
270,92.586266
271,197.05414
272,230.96896
273,242.90851
274,250.09
275,234.13828
276,185.37897
277,130.62631
278,9.920094
279,33.45309
280,75.61736
281,140.6452
282,192.29263
283,203.8143
284,172.44498
285,78.544235
286,132.29678
287,174.41833
288,196.38446
289,197.39252
290,175.68866
291,134.17664
292,82.39592
293,52.818207
294,64.88784
295,110.84585
296,146.7167
297,182.40443
298,191.35284
299,182.72256
300,157.04271
301,68.97795
302,55.458534
303,59.227226
304,60.216866
305,50.37364
306,55.454002
307,88.847824
308,115.48923
309,107.74716
310,120.60059
311,145.2573
312,164.58643
313,170.84883
314,176.14758
315,175.46112
316,164.59451
317,142.72621
318,134.5325
319,118.85169
320,101.369644
321,84.5375
322,72.953514
323,66.36917
324,57.15812
325,59.48288
326,59.576332
327,52.613884
328,52.31721
329,57.971275
330,54.87401
331,52.852913
332,53.99205
333,63.20259
334,73.6452
335,74.43483
336,66.57582
337,68.6755
338,75.98703
339,92.32776
340,106.30255
341,105.59431
342,106.70274
343,108.563095
344,109.40048
345,97.67715
346,58.313034
347,55.042477
348,54.28288
349,52.85599
350,52.657875
351,50.686817
352,55.82903
353,59.83782
354,66.82893
355,93.64136
356,159.01349
357,200.63359
358,200.3229
359,154.6507
360,88.417694
361,55.31875
362,55.420803
363,70.98881
364,131.50587
365,177.71536
366,180.14055
367,162.37115
368,165.4039
369,171.31833
370,137.32445
371,82.52223
372,8.82378
373,-15.757351
374,15.788504
375,68.89845
376,121.71205
377,115.8878
378,61.170532
379,12.756426
380,-16.048634
381,42.178658
382,94.31755
383,159.79388
384,205.16724
385,207.4433
386,211.9632
387,231.59592
388,222.33624
389,155.00761
390,170.52713
391,195.60887
392,201.40353
393,196.16339
394,189.85437
395,190.76364
396,201.97995
397,190.25021
398,160.68182
399,181.88681
400,188.14246
401,175.30545
402,158.21161
403,144.56223
404,129.72528
405,120.94535
406,117.374596
407,115.01496
408,108.32886
409,93.89457
410,69.11388
411,56.87723
412,51.015728
413,49.67939
414,53.36702
415,53.554405
416,55.07769
417,56.884228
418,52.428993
419,48.1316
420,53.173737
421,57.097477
422,53.26873
423,51.07598
424,54.877857
425,52.08734
426,50.143036
427,51.98199
428,54.506264
429,55.473473
430,57.77143
431,63.23372
432,69.93723
433,73.721664
434,74.79719
435,69.562256
436,80.70969
437,76.85377
438,59.53282
439,59.32178
440,57.715317
441,64.16473
442,62.836662
443,51.684452
444,61.653828
445,102.81029
446,133.73415
447,126.2108
448,149.82922
449,164.48764
450,160.60483
451,145.28903
452,155.48862
453,164.70477
454,161.8347
455,154.51009
456,139.57068
457,133.63953
458,153.21402
459,188.06967
460,195.28311
461,169.90953
462,162.01208
463,177.77936
464,193.00073
465,206.391
466,214.25708
467,207.25743
468,195.15364
469,181.83322
470,141.57607
471,118.91691
472,82.75329
473,40.09189
474,-19.181892
475,-21.988798
476,13.571846
477,72.54253
478,115.202415
479,163.93173
480,196.2973
481,195.11523
482,160.99849
483,60.760586
484,116.885605
485,131.14261
486,129.48657
487,110.60741
488,108.55809
489,92.86066
490,28.35103
491,28.517565
492,29.575489
493,-12.091893
494,-31.080467
495,-9.602097
496,4.49877
497,-5.2577705
498,-10.4661875
499,-1.0777159
500,-9.413224
501,-25.824265
502,-36.75649
503,-36.480366
504,-40.04084
505,-46.274616
506,-62.71047
507,-74.97876
508,-77.46248
509,-74.51248
510,-85.87305
511,-80.217125
512,-68.54497
513,-76.269135
514,-89.89006
515,-62.05771
516,-30.882298
517,-43.401394
518,-67.14145
519,-75.23627
520,-57.260975
521,-17.07329
522,14.130349
523,12.072458
524,-23.543457
525,-7.5708933
526,-10.69088
527,-34.400887
528,-19.784225
529,30.610573
530,31.757975
